graph_id,model_name,candidate_id,host_face_id,local_wire_index,hostFaceArea,hostFaceRelativeArea,hostFacePerimeter,hostInnerWireCount,hostNeighborFaceCount,wireLength,wireLengthRatio,estimatedHoleRadius,estimatedHoleArea,wireCenterX,wireCenterY,wireCenterZ,adjacentFaceCount,adjacentCylinderCount,adjacentSmallCylinderCount,minAdjacentCylinderRadius,maxAdjacentCylinderRadius,concaveEdgeRatio,label
0,"82.step",0,1,0,592.797,0.000427643,224.506,3,7,7.10188,0.0316334,1.1303,4.01363,152.072,-47.6054,114.3,7,3,3,1.1303,1.1303,0,1
0,"82.step",1,1,1,592.797,0.000427643,224.506,3,7,7.10188,0.0316334,1.1303,4.01363,152.072,-15.8554,114.3,7,3,3,1.1303,1.1303,0,1
0,"82.step",2,1,2,592.797,0.000427643,224.506,3,7,7.10188,0.0316334,1.1303,4.01363,152.072,15.8946,114.3,7,3,3,1.1303,1.1303,0,1
0,"82.step",3,2,0,153.263,0.000110564,77.7038,2,6,7.10188,0.0913969,1.1303,4.01363,152.072,34.9446,133.35,6,2,2,1.1303,1.1303,0,1
0,"82.step",4,10,0,3422.7,0.00246914,320.22,1,9,54.8601,0.17132,8.73125,239.498,155.247,-23.8019,152.268,9,5,0,6.35,38.1,0,0
0,"82.step",5,11,0,3422.7,0.00246914,320.22,1,9,54.8601,0.17132,8.73125,239.498,148.897,-23.8019,152.268,9,5,0,6.35,38.1,0,0
0,"82.step",6,23,0,184.691,0.000133236,108.224,1,2,43.3893,0.400922,6.90563,149.815,147.706,-23.8019,152.268,2,2,0,6.90563,10.3187,0,0
0,"82.step",7,27,0,70.3823,5.07738e-05,95.9924,1,2,43.3893,0.452008,6.90563,149.815,154.056,-23.8019,152.268,2,1,0,6.90563,6.90563,0,0
0,"82.step",8,29,0,71.2557,5.14039e-05,74.8092,1,2,31.4199,0.42,5.00062,78.5595,152.278,-23.8019,152.268,2,2,0,5.00062,6.90563,1,0
0,"82.step",9,31,0,39.3189,2.83647e-05,53.626,1,2,22.2061,0.414092,3.53421,39.2405,154.056,-23.8019,152.268,2,1,0,5.00062,5.00062,0,0
0,"82.step",10,35,0,39.3189,2.83647e-05,53.626,1,2,22.2061,0.414092,3.53421,39.2405,146.119,-23.8019,152.268,2,1,0,5.00062,5.00062,0,0
0,"82.step",11,37,0,71.2557,5.14039e-05,74.8092,1,2,31.4199,0.42,5.00062,78.5595,149.484,-23.8019,152.268,2,2,0,5.00062,6.90563,1,0
0,"82.step",12,43,0,168.214,0.00012135,108.124,1,2,44.287,0.409594,7.0485,156.079,144.849,-23.8019,152.268,2,2,0,7.0485,10.16,0.5,0
0,"82.step",13,45,0,294.125,0.000212182,83.3075,1,2,19.4703,0.233716,3.0988,30.1673,146.119,-23.8019,152.268,2,2,0,3.0988,10.16,0.5,0
0,"82.step",14,52,0,1878.79,0.00135536,300.598,1,37,52.905,0.175999,8.4201,222.733,138.245,-23.8019,152.268,37,25,0,3.81,31.4325,0.027027,0
0,"82.step",15,77,0,1878.79,0.00135536,300.598,1,37,52.905,0.175999,8.4201,222.733,99.1286,-23.8019,152.268,37,25,0,3.81,31.4325,0.027027,0
0,"82.step",16,79,0,1878.79,0.00135536,300.598,1,37,52.905,0.175999,8.4201,222.733,134.816,-23.8019,152.268,37,25,0,3.81,31.4325,0.027027,0
0,"82.step",17,81,0,1878.79,0.00135536,300.598,1,37,52.905,0.175999,8.4201,222.733,102.558,-23.8019,152.268,37,25,0,3.81,31.4325,0.027027,0
0,"82.step",18,137,0,60492.1,0.043639,1329.49,20,24,20.7471,0.0156053,3.302,34.2534,-303.53,-87.3019,-331.478,24,20,12,1.1303,3.302,0,1
0,"82.step",19,137,1,60492.1,0.043639,1329.49,20,24,20.7471,0.0156053,3.302,34.2534,-154.305,-87.3019,-73.0128,24,20,12,1.1303,3.302,0,1
0,"82.step",20,137,2,60492.1,0.043639,1329.49,20,24,20.7471,0.0156053,3.302,34.2534,-154.305,39.6981,-73.0128,24,20,12,1.1303,3.302,0,1
0,"82.step",21,137,3,60492.1,0.043639,1329.49,20,24,20.7471,0.0156053,3.302,34.2534,-303.53,39.6981,-331.478,24,20,12,1.1303,3.302,0,1
0,"82.step",22,137,4,60492.1,0.043639,1329.49,20,24,16.9966,0.0127843,2.7051,22.9888,-314.261,-35.1049,-350.066,24,20,12,1.1303,3.302,0,1
0,"82.step",23,137,5,60492.1,0.043639,1329.49,20,24,16.9966,0.0127843,2.7051,22.9888,-314.261,-61.7749,-350.066,24,20,12,1.1303,3.302,0,1
0,"82.step",24,137,6,60492.1,0.043639,1329.49,20,24,16.9966,0.0127843,2.7051,22.9888,-285.94,-61.7749,-301.012,24,20,12,1.1303,3.302,0,1
0,"82.step",25,137,7,60492.1,0.043639,1329.49,20,24,16.9966,0.0127843,2.7051,22.9888,-285.94,-35.1049,-301.012,24,20,12,1.1303,3.302,0,1
0,"82.step",26,137,8,60492.1,0.043639,1329.49,20,24,10.8523,0.00816277,1.7272,9.37206,-214.116,-55.5519,-176.608,24,20,12,1.1303,3.302,0,1
0,"82.step",27,137,9,60492.1,0.043639,1329.49,20,24,10.8523,0.00816277,1.7272,9.37206,-214.116,7.94807,-176.608,24,20,12,1.1303,3.302,0,1
0,"82.step",28,137,10,60492.1,0.043639,1329.49,20,24,10.8523,0.00816277,1.7272,9.37206,-263.404,-55.5519,-261.978,24,20,12,1.1303,3.302,0,1
0,"82.step",29,137,11,60492.1,0.043639,1329.49,20,24,10.8523,0.00816277,1.7272,9.37206,-263.404,7.94807,-261.978,24,20,12,1.1303,3.302,0,1
0,"82.step",30,137,12,60492.1,0.043639,1329.49,20,24,9.97456,0.00750254,1.5875,7.9173,-158.78,-21.2429,-80.7634,24,20,12,1.1303,3.302,0,1
0,"82.step",31,137,13,60492.1,0.043639,1329.49,20,24,9.97456,0.00750254,1.5875,7.9173,-196.88,47.3371,-146.755,24,20,12,1.1303,3.302,0,1
0,"82.step",32,137,14,60492.1,0.043639,1329.49,20,24,9.97456,0.00750254,1.5875,7.9173,-196.88,-21.2429,-146.755,24,20,12,1.1303,3.302,0,1
0,"82.step",33,137,15,60492.1,0.043639,1329.49,20,24,9.97456,0.00750254,1.5875,7.9173,-158.78,47.3371,-80.7634,24,20,12,1.1303,3.302,0,1
0,"82.step",34,137,16,60492.1,0.043639,1329.49,20,24,7.10188,0.00534181,1.1303,4.01363,-192.088,-34.5969,-138.454,24,20,12,1.1303,3.302,0,1
0,"82.step",35,137,17,60492.1,0.043639,1329.49,20,24,7.10188,0.00534181,1.1303,4.01363,-192.088,-96.8269,-138.454,24,20,12,1.1303,3.302,0,1
0,"82.step",36,137,18,60492.1,0.043639,1329.49,20,24,7.10188,0.00534181,1.1303,4.01363,-160.972,-96.8269,-84.5612,24,20,12,1.1303,3.302,0,1
0,"82.step",37,137,19,60492.1,0.043639,1329.49,20,24,7.10188,0.00534181,1.1303,4.01363,-160.972,-34.5969,-84.5612,24,20,12,1.1303,3.302,0,1
0,"82.step",38,139,0,60492.1,0.043639,1329.49,20,24,20.7471,0.0156053,3.302,34.2534,-314.529,-87.3019,-325.128,24,20,12,1.1303,3.302,0,1
