graph_id,model_name,id,area,relativeArea,perimeter,compactness,surfaceType,nx,ny,nz,centerZ,meanCurvature,radius,numWires,innerWireCount,minInnerWireLength,maxInnerWireLength,numEdges,neighbors,edge_types,label
0,"99.step",1,14712,0.00302619,575.096,1.78896,0,0,1.22465e-16,-1,-889,0,0,5,4,19.9491,19.9491,12,"11 12 9 8 10 14 3 13","1 1 1 1 1 0 1 1",0
0,"99.step",2,645.16,0.000132707,215.9,5.74947,0,0,1.11022e-16,-1,-939.8,0,0,1,0,0,0,4,"10 5 3 4","1 1 1 1",0
0,"99.step",3,1304.68,0.000268367,423.624,10.9458,0,1,0,0,-892.93,0,0,1,0,0,0,8,"5 6 7 13 1 14 4 2","1 1 1 1 1 1 1 1",0
0,"99.step",4,4516.12,0.000928946,292.1,1.50345,0,0,-1,0,-917.575,0,0,1,0,0,0,4,"10 2 3 14","1 1 1 0",0
0,"99.step",5,4516.12,0.000928946,292.1,1.50345,0,-0,1,-0,-917.575,0,0,1,0,0,0,4,"10 6 3 2","1 0 1 1",0
0,"99.step",6,2026.83,0.00041691,243.098,2.32026,1,0,0.707107,0.707107,-887.265,-0.0393701,12.7,1,0,0,0,4,"10 7 3 5","1 0 1 0",0
0,"99.step",7,14712,0.00302619,575.096,1.78896,0,-0,-1.22465e-16,1,-882.65,0,0,5,4,19.9491,19.9491,8,"11 12 9 8 10 13 3 6","1 1 1 1 1 1 1 0",0
0,"99.step",8,126.677,2.60569e-05,52.5982,1.73794,1,1,6.24787e-14,7.65143e-30,-885.825,-0.15748,3.175,1,0,0,0,5,"1 7","1 1",0
0,"99.step",9,126.677,2.60569e-05,52.5982,1.73794,1,1,6.15905e-14,7.54266e-30,-885.825,-0.15748,3.175,1,0,0,0,5,"1 7","1 1",0
0,"99.step",10,1304.68,0.000268367,423.624,10.9458,0,-1,-0,-0,-892.93,0,0,1,0,0,0,8,"5 2 4 14 1 13 7 6","1 1 1 1 1 1 1 1",0
0,"99.step",11,126.677,2.60569e-05,52.5982,1.73794,1,1,6.24787e-14,7.65143e-30,-885.825,-0.15748,3.175,1,0,0,0,5,"1 7","1 1",0
0,"99.step",12,126.677,2.60569e-05,52.5982,1.73794,1,1,6.24787e-14,7.65143e-30,-885.825,-0.15748,3.175,1,0,0,0,5,"1 7","1 1",0
0,"99.step",13,645.16,0.000132707,215.9,5.74947,0,0,-1,0,-885.825,0,0,1,0,0,0,4,"10 1 3 7","1 1 1 1",0
0,"99.step",14,1013.41,0.000208455,223.149,3.91015,1,-0,-0.707107,-0.707107,-891.307,-0.0787402,6.35,1,0,0,0,4,"1 3 4 10","0 1 0 1",0
0,"99.step",15,3870.96,0.000796239,304.8,1.90986,0,-0,-0,1,-904.875,0,0,1,0,0,0,3,"17 18 19","1 1 1",0
0,"99.step",16,3870.96,0.000796239,304.8,1.90986,0,0,0,-1,-923.925,0,0,1,0,0,0,3,"17 19 18","1 1 1",0
0,"99.step",17,2419.35,0.000497649,292.1,2.80643,0,-0.6,0.8,0,-914.4,0,0,1,0,0,0,4,"15 19 16 18","1 1 1 1",0
0,"99.step",18,1935.48,0.00039812,241.3,2.39396,0,0,-1,0,-914.4,0,0,1,0,0,0,4,"15 17 16 19","1 1 1 1",0
0,"99.step",19,1451.61,0.00029859,190.5,1.98944,0,1,-0,-0,-914.4,0,0,1,0,0,0,4,"15 18 16 17","1 1 1 1",0
0,"99.step",20,3870.96,0.000796239,304.8,1.90986,0,-0,-0,1,-904.875,0,0,1,0,0,0,3,"22 23 24","1 1 1",0
0,"99.step",21,3870.96,0.000796239,304.8,1.90986,0,0,0,-1,-923.925,0,0,1,0,0,0,3,"22 24 23","1 1 1",0
0,"99.step",22,2419.35,0.000497649,292.1,2.80643,0,0.6,-0.8,0,-914.4,0,0,1,0,0,0,4,"20 24 21 23","1 1 1 1",0
0,"99.step",23,1935.48,0.00039812,241.3,2.39396,0,0,1,0,-914.4,0,0,1,0,0,0,4,"20 22 21 24","1 1 1 1",0
0,"99.step",24,1451.61,0.00029859,190.5,1.98944,0,-1,-0,-0,-914.4,0,0,1,0,0,0,4,"20 23 21 22","1 1 1 1",0
0,"99.step",25,44516,0.00915675,2413,10.4085,0,-0,1.22465e-16,-1,-939.8,0,0,1,0,0,0,4,"28 27 29 26","1 0 1 0",0
0,"99.step",26,11654.3,0.00239723,2356.75,37.9255,1,0,0.707107,-0.707107,-937.493,-0.0787402,6.35,1,0,0,0,4,"28 25 29 41","1 0 1 0",0
0,"99.step",27,11654.3,0.00239723,2356.75,37.9255,1,-0,-0.707107,-0.707107,-937.493,-0.0787402,6.35,1,0,0,0,4,"28 30 29 25","1 0 1 0",0
0,"99.step",28,687.053,0.000141324,360.658,15.0657,0,1,0,-6.12323e-17,-914.4,0,0,2,1,168.359,168.359,16,"30 27 25 26 41 40 39 42 32 38 37 36 35 34 33 31","1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1",0
0,"99.step",29,687.053,0.000141324,360.658,15.0657,0,-1,0,-6.12323e-17,-914.4,0,0,2,1,168.359,168.359,16,"30 42 39 40 41 26 25 27 32 31 33 34 35 36 37 38","1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1",0
0,"99.step",30,44516,0.00915675,2413,10.4085,0,-0,-1,1.22465e-16,-914.4,0,0,1,0,0,0,4,"28 42 29 27","1 0 1 0",0
0,"99.step",31,44516,0.00915675,2413,10.4085,0,-0,-1,-1.22465e-16,-914.4,0,0,1,0,0,0,4,"28 33 29 32","1 0 1 0",0
0,"99.step",32,4661.71,0.000958893,2344.78,93.8532,1,-0,-0.707107,0.707107,-935.067,-0.19685,2.54,1,0,0,0,4,"29 31 28 38","1 0 1 0",0
0,"99.step",33,4661.71,0.000958893,2344.78,93.8532,1,-0,-0.707107,-0.707107,-893.733,-0.19685,2.54,1,0,0,0,4,"29 34 28 31","1 0 1 0",0
0,"99.step",34,44516,0.00915675,2413,10.4085,0,-0,-1.22465e-16,-1,-892.81,0,0,1,0,0,0,4,"28 35 29 33","1 0 1 0",0
0,"99.step",35,4661.71,0.000958893,2344.78,93.8532,1,-0,0.707107,-0.707107,-893.733,-0.19685,2.54,1,0,0,0,4,"29 36 28 34","1 0 1 0",0
0,"99.step",36,44516,0.00915675,2413,10.4085,0,0,1,-1.22465e-16,-914.4,0,0,1,0,0,0,4,"35 28 37 29","0 1 0 1",0
0,"99.step",37,4661.71,0.000958893,2344.78,93.8532,1,0,0.707107,0.707107,-935.067,-0.19685,2.54,1,0,0,0,4,"29 38 28 36","1 0 1 0",0
0,"99.step",38,44516,0.00915675,2413,10.4085,0,0,-1.22465e-16,1,-935.99,0,0,1,0,0,0,4,"37 28 32 29","0 1 0 1",0
0,"99.step",39,44516,0.00915675,2413,10.4085,0,0,1.22465e-16,1,-889,0,0,1,0,0,0,4,"42 28 40 29","0 1 0 1",0
0,"99.step",40,11654.3,0.00239723,2356.75,37.9255,1,0,0.707107,0.707107,-891.307,-0.0787402,6.35,1,0,0,0,4,"28 41 29 39","1 0 1 0",0
0,"99.step",41,44516,0.00915675,2413,10.4085,0,0,1,1.22465e-16,-914.4,0,0,1,0,0,0,4,"40 28 26 29","0 1 0 1",0
0,"99.step",42,11654.3,0.00239723,2356.75,37.9255,1,0,-0.707107,0.707107,-891.307,-0.0787402,6.35,1,0,0,0,4,"28 39 29 30","1 0 1 0",0
0,"99.step",43,3870.96,0.000796239,304.8,1.90986,0,-0,-0,1,-904.875,0,0,1,0,0,0,3,"45 47 46","1 1 1",0
0,"99.step",44,3870.96,0.000796239,304.8,1.90986,0,0,0,-1,-923.925,0,0,1,0,0,0,3,"45 46 47","1 1 1",0
0,"99.step",45,2419.35,0.000497649,292.1,2.80643,0,-0.6,-0.8,0,-914.4,0,0,1,0,0,0,4,"43 46 44 47","1 1 1 1",0
0,"99.step",46,1935.48,0.00039812,241.3,2.39396,0,0,1,0,-914.4,0,0,1,0,0,0,4,"43 47 44 45","1 1 1 1",0
0,"99.step",47,1451.61,0.00029859,190.5,1.98944,0,1,-0,-0,-914.4,0,0,1,0,0,0,4,"43 45 44 46","1 1 1 1",0
0,"99.step",48,11654.3,0.00239723,2356.75,37.9255,1,0,0.707107,0.707107,-891.307,-0.0787402,6.35,1,0,0,0,4,"51 64 65 50","1 0 1 0",0
0,"99.step",49,4661.71,0.000958893,2344.78,93.8532,1,0,0.707107,0.707107,-935.067,-0.19685,2.54,1,0,0,0,4,"51 63 65 57","1 0 1 0",0
0,"99.step",50,44516,0.00915675,2413,10.4085,0,0,-1.22465e-16,1,-889,0,0,1,0,0,0,4,"48 65 56 51","0 1 0 1",0
0,"99.step",51,687.053,0.000141324,360.658,15.0657,0,1,0,-6.12323e-17,-914.4,0,0,2,1,168.359,168.359,16,"64 48 50 56 55 54 53 52 49 63 62 61 60 59 58 57","1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1",0
0,"99.step",52,11654.3,0.00239723,2356.75,37.9255,1,0,0.707107,-0.707107,-937.493,-0.0787402,6.35,1,0,0,0,4,"51 53 65 64","1 0 1 0",0
0,"99.step",53,44516,0.00915675,2413,10.4085,0,-0,-1.22465e-16,-1,-939.8,0,0,1,0,0,0,4,"51 54 65 52","1 0 1 0",0
0,"99.step",54,11654.3,0.00239723,2356.75,37.9255,1,-0,-0.707107,-0.707107,-937.493,-0.0787402,6.35,1,0,0,0,4,"51 55 65 53","1 0 1 0",0
0,"99.step",55,44516,0.00915675,2413,10.4085,0,0,-1,1.22465e-16,-914.4,0,0,1,0,0,0,4,"56 65 54 51","0 1 0 1",0
0,"99.step",56,11654.3,0.00239723,2356.75,37.9255,1,0,-0.707107,0.707107,-891.307,-0.0787402,6.35,1,0,0,0,4,"51 50 65 55","1 0 1 0",0
0,"99.step",57,44516,0.00915675,2413,10.4085,0,0,1.22465e-16,1,-935.99,0,0,1,0,0,0,4,"58 65 49 51","0 1 0 1",0
0,"99.step",58,4661.71,0.000958893,2344.78,93.8532,1,-0,-0.707107,0.707107,-935.067,-0.19685,2.54,1,0,0,0,4,"51 57 65 59","1 0 1 0",0
0,"99.step",59,44516,0.00915675,2413,10.4085,0,0,-1,-1.22465e-16,-914.4,0,0,1,0,0,0,4,"60 65 58 51","0 1 0 1",0
0,"99.step",60,4661.71,0.000958893,2344.78,93.8532,1,-0,-0.707107,-0.707107,-893.733,-0.19685,2.54,1,0,0,0,4,"51 59 65 61","1 0 1 0",0
0,"99.step",61,44516,0.00915675,2413,10.4085,0,-0,1.22465e-16,-1,-892.81,0,0,1,0,0,0,4,"51 62 65 60","1 0 1 0",0
0,"99.step",62,4661.71,0.000958893,2344.78,93.8532,1,-0,0.707107,-0.707107,-893.733,-0.19685,2.54,1,0,0,0,4,"51 61 65 63","1 0 1 0",0
0,"99.step",63,44516,0.00915675,2413,10.4085,0,-0,1,-1.22465e-16,-914.4,0,0,1,0,0,0,4,"51 49 65 62","1 0 1 0",0
0,"99.step",64,44516,0.00915675,2413,10.4085,0,-0,1,1.22465e-16,-914.4,0,0,1,0,0,0,4,"51 52 65 48","1 0 1 0",0
0,"99.step",65,687.053,0.000141324,360.658,15.0657,0,-1,0,-6.12323e-17,-914.4,0,0,2,1,168.359,168.359,16,"64 52 53 54 55 56 50 48 49 57 58 59 60 61 62 63","1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1",0
