id,area,relativeArea,perimeter,compactness,surfaceType,nx,ny,nz,centerZ,meanCurvature,radius,numWires,numEdges,neighbors,edge_types,label
1,3.97316,0.0507855,32.9081,21.69,4,0.984403,3.63864e-14,0.17593,-1.69198e-13,-0.755913,0.692675,1,4,"","",1
2,3.86697,0.0494282,29.9583,18.4694,4,0.918484,8.17901e-14,0.395459,-1.54099e-13,-1.45778,0.324131,1,4,"","",1
3,2.5219,0.0322353,27.2758,23.4756,4,0.918484,8.17901e-14,0.395459,1.4122e-13,-2.26551,0.230047,1,4,"","",1
4,3.29795,0.042155,35.1316,29.7812,4,0.700258,-1.47649e-13,-0.71389,-1.82965e-13,-1.26905,0.438473,1,4,"","",1
5,30.4195,0.388827,38.831,3.94453,4,8.63982e-14,-2.06823e-13,-1,1.95843e-13,-0.508094,1.45215,1,4,"","",1
6,3.29795,0.042155,35.1316,29.7812,4,-0.700258,-1.47649e-13,-0.71389,1.82521e-13,-1.26905,0.438473,1,4,"","",1
7,3.86697,0.0494282,29.9583,18.4694,4,-0.918484,8.17901e-14,0.395459,1.54099e-13,-1.45778,0.324131,1,4,"","",1
8,2.5219,0.0322353,27.2758,23.4756,4,-0.918484,8.17901e-14,0.395459,-1.40776e-13,-2.26551,0.230047,1,4,"","",1
9,0.738984,0.00944582,25.966,72.6047,1,-0,-2.06823e-13,1,-1.36335e-13,-0.243048,2.05721,1,4,"","",1
10,2.59263,0.0331395,27.2772,22.8375,4,0.893868,-9.27251e-14,-0.448331,-1.42109e-13,-2.52276,0.20674,1,4,"","",1
11,8.90225,0.11379,32.1431,9.23562,4,0.999174,8.40427e-15,0.0406351,1.62537e-13,-1.70001,0.295545,1,4,"","",1
12,8.90225,0.11379,32.1431,9.23562,4,-0.999174,8.40427e-15,0.0406351,-1.63425e-13,-1.70001,0.295545,1,4,"","",1
13,2.59263,0.0331395,27.2772,22.8375,4,-0.893868,-9.27251e-14,-0.448331,1.41664e-13,-2.52276,0.20674,1,4,"","",1
14,0.738984,0.00944582,25.966,72.6047,1,-0,-2.06823e-13,1,1.35447e-13,-0.243048,2.05721,1,4,"","",1
15,8.16636,0.0948024,13.3211,1.72918,3,-0.0861915,1.78264e-14,0.996279,0.967704,-0.106919,9.35287,1,5,"","",1
