face_id,surface,area,score
78,bspline,461817.372579,2309086.862893
97,bspline,461817.372575,2309086.862877
122,bspline,404113.317885,2020566.589427
127,bspline,403477.297134,2017386.485668
379,plane,1452610.486246,1452610.486246
381,plane,1452610.486245,1452610.486245
399,plane,1435582.260586,1435582.260586
401,plane,1431447.040994,1431447.040994
82,bspline,220610.172853,1103050.864264
52,bspline,220609.562282,1103047.811412
103,bspline,219518.883694,1097594.418470
118,bspline,219518.806539,1097594.032694
