face_id,surface,area,score
3133,bspline,3018843.916550,15094219.582750
3141,bspline,3018843.916550,15094219.582750
3134,bspline,2990562.394226,14952811.971128
3155,bspline,2990562.394226,14952811.971128
1697,bspline,2410418.517545,12052092.587727
3429,bspline,2307820.810933,11539104.054666
2881,bspline,2232885.785049,11164428.925247
3426,bspline,2232885.785049,11164428.925247
1699,bspline,2137581.597340,10687907.986698
3014,bspline,1718569.554850,8592847.774250
3086,bspline,1718569.554850,8592847.774250
3095,bspline,1605254.777555,8026273.887776
