face_id,surface,area,score
1192,bspline,364480406.543181,1822402032.715903
797,bspline,54976815.871488,274884079.357439
1212,bspline,54976815.871488,274884079.357439
795,bspline,53920946.921557,269604734.607785
1219,bspline,53920946.921556,269604734.607781
763,bspline,43698510.770413,218492553.852065
1190,bspline,43698510.770412,218492553.852060
764,bspline,43203533.223095,216017666.115477
1223,bspline,43203533.223095,216017666.115477
724,bspline,36919398.992649,184596994.963244
1187,bspline,36919398.992625,184596994.963126
727,bspline,35767983.769548,178839918.847741
