model_name,candidate_id,host_face_id,host_area,inner_loop_index,loop_edge_count,candidate_face_ids,candidate_face_areas,relative_area,candidate_surface_types,heuristic_score
245-A-10 fairchild republic stp igs_A-10_wing_rivets.step,217,6302,22.303247,1,12,F6337 F6338 F6339 F6340 F6341 F6342 F6343 F6344 F6345 F6346 F6347 F6348,1.530211 0.377893 0.257838 0.257838 0.377897 1.530213 0.891031 0.261919 0.087084 0.087079 0.261908 0.891036,0.305424,1 6 1 1 6 1 1 6 1 1 6 1,73.892
245-A-10 fairchild republic stp igs_A-10_wing_rivets.step,221,6502,22.304062,1,12,F6537 F6538 F6539 F6540 F6541 F6542 F6543 F6544 F6545 F6546 F6547 F6548,1.530211 0.377893 0.257838 0.257838 0.377897 1.530213 0.891031 0.261919 0.087084 0.087079 0.261908 0.891036,0.305413,1 6 1 1 6 1 1 6 1 1 6 1,73.892
245-A-10 fairchild republic stp igs_A-10_wing_rivets.step,66,3536,5556.634360,1,9,F3523 F3532 F3533 F3534 F3535 F3537 F3543 F3565 F3566,0.260694 9.614052 0.267774 0.040541 0.209910 11.001851 1.001383 0.100197 1.078421,0.004243,6 6 6 6 6 6 6 6 6,64.915
245-A-10 fairchild republic stp igs_A-10_wing_rivets.step,76,3824,5556.634360,1,9,F3825 F3852 F3853 F3854 F3855 F3856 F3862 F3883 F3884,0.260694 9.614052 0.267774 0.040541 0.209910 11.001851 1.001383 0.100197 1.078421,0.004243,6 6 6 6 6 6 6 6 6,64.915
245-A-10 fairchild republic stp igs_A-10_wing_rivets.step,218,6310,22.302119,1,10,F6373 F6374 F6375 F6376 F6377 F6378 F6379 F6380 F6381 F6382,0.891031 0.261963 0.174158 0.261963 0.891031 1.530213 0.377985 0.515677 0.377985 1.530213,0.305452,1 4 1 4 1 1 4 1 4 1,63.891
245-A-10 fairchild republic stp igs_A-10_wing_rivets.step,222,6510,22.302119,1,10,F6573 F6574 F6575 F6576 F6577 F6578 F6579 F6580 F6581 F6582,0.891031 0.261963 0.174158 0.261963 0.891031 1.530213 0.377985 0.515677 0.377985 1.530213,0.305452,1 4 1 4 1 1 4 1 4 1,63.891
245-A-10 fairchild republic stp igs_A-10_wing_rivets.step,230,6689,22.656489,1,9,F6802 F6803 F6804 F6805 F6806 F6807 F6808 F6809 F6810,0.192685 0.754121 0.085484 0.037193 0.037136 0.085484 0.754178 0.192596 0.210712,0.103705,1 1 6 1 1 6 1 1 6,62.926
245-A-10 fairchild republic stp igs_A-10_wing_rivets.step,242,6864,22.649753,1,9,F6977 F6978 F6979 F6980 F6981 F6982 F6983 F6984 F6985,0.192685 0.754121 0.085484 0.037193 0.037136 0.085484 0.754178 0.192596 0.210712,0.103736,1 1 6 1 1 6 1 1 6,62.925
245-A-10 fairchild republic stp igs_A-10_wing_rivets.step,231,6691,19.350204,1,9,F6784 F6785 F6786 F6787 F6788 F6789 F6790 F6791 F6792,0.036634 0.036611 0.083739 0.738426 0.191270 0.202424 0.191119 0.740742 0.083345,0.119085,1 1 6 6 6 6 6 6 6,62.618
245-A-10 fairchild republic stp igs_A-10_wing_rivets.step,243,6866,19.350204,1,9,F6959 F6960 F6961 F6962 F6963 F6964 F6965 F6966 F6967,0.036634 0.036611 0.083739 0.738426 0.191270 0.202424 0.191119 0.740742 0.083345,0.119085,1 1 6 6 6 6 6 6 6,62.618
245-A-10 fairchild republic stp igs_A-10_wing_rivets.step,68,3536,5556.634360,3,8,F3575 F3576 F3577 F3578 F3579 F3580 F3581 F3582,1.389033 17.311861 1.368174 0.311388 1.498595 20.042135 1.505417 0.317941,0.007872,6 6 6 6 6 6 6 6,59.843
245-A-10 fairchild republic stp igs_A-10_wing_rivets.step,78,3824,5556.634360,3,8,F3893 F3894 F3895 F3896 F3897 F3898 F3899 F3900,1.389033 17.311861 1.368174 0.311388 1.498595 20.042135 1.505417 0.317941,0.007872,6 6 6 6 6 6 6 6,59.843
245-A-10 fairchild republic stp igs_A-10_wing_rivets.step,69,3536,5556.634360,4,8,F3583 F3584 F3585 F3586 F3587 F3588 F3589 F3590,1.380967 18.940796 1.368105 0.453867 1.498958 21.967119 1.502467 0.459710,0.008561,6 6 6 6 6 6 6 6,59.829
