model_name,symmetry_axis,symmetry_plane_coordinate,seed_face_id,mirrored_face_id,mirrored_face_center,surface_type,area_ratio,normalized_distance
27- DC-10 SolidWorks stp igs_DC 10_wing_rivets.step,X,0.000000,F168,F208,20.818365 9.689022 -67.837596,6,0.998099,0.001413
27- DC-10 SolidWorks stp igs_DC 10_wing_rivets.step,X,0.000000,F169,F165,21.612628 9.319221 -74.805886,6,0.999136,0.001365
27- DC-10 SolidWorks stp igs_DC 10_wing_rivets.step,X,0.000000,F170,F164,21.960461 9.142173 -77.877915,6,1.000046,0.001442
27- DC-10 SolidWorks stp igs_DC 10_wing_rivets.step,X,0.000000,F171,F163,22.053764 9.685292 -84.406955,6,1.000610,0.000442
27- DC-10 SolidWorks stp igs_DC 10_wing_rivets.step,X,0.000000,F172,F162,22.448637 9.251086 -89.632519,6,1.000585,0.000260
27- DC-10 SolidWorks stp igs_DC 10_wing_rivets.step,X,0.000000,F173,F161,22.832176 8.745239 -103.506457,6,0.999724,0.000256
27- DC-10 SolidWorks stp igs_DC 10_wing_rivets.step,X,0.000000,F174,F159,22.816263 9.912319 -106.931144,6,0.995697,0.000665
27- DC-10 SolidWorks stp igs_DC 10_wing_rivets.step,X,0.000000,F176,F158,23.170474 9.395436 -116.628027,6,0.995238,0.000569
27- DC-10 SolidWorks stp igs_DC 10_wing_rivets.step,X,0.000000,F178,F156,23.109878 9.690201 -127.612125,6,0.992645,0.001652
27- DC-10 SolidWorks stp igs_DC 10_wing_rivets.step,X,0.000000,F179,F154,22.956946 10.023745 -140.766473,6,0.993339,0.010786
27- DC-10 SolidWorks stp igs_DC 10_wing_rivets.step,X,0.000000,F181,F153,23.119353 9.594765 -147.504546,6,0.993410,0.000722
27- DC-10 SolidWorks stp igs_DC 10_wing_rivets.step,X,0.000000,F182,F151,23.119353 9.594765 -154.148796,6,0.995467,0.000728
27- DC-10 SolidWorks stp igs_DC 10_wing_rivets.step,X,0.000000,F184,F149,22.767936 10.142291 -167.376977,6,0.997029,0.000945
27- DC-10 SolidWorks stp igs_DC 10_wing_rivets.step,X,0.000000,F186,F148,23.109984 8.618646 -173.671998,6,0.997131,0.002313
27- DC-10 SolidWorks stp igs_DC 10_wing_rivets.step,X,0.000000,F187,F147,23.108981 8.675989 -180.379141,6,0.997865,0.000231
27- DC-10 SolidWorks stp igs_DC 10_wing_rivets.step,X,0.000000,F188,F146,22.996230 8.819455 -186.197468,6,0.998537,0.000220
27- DC-10 SolidWorks stp igs_DC 10_wing_rivets.step,X,0.000000,F189,F136,22.996230 8.882308 -192.939206,6,0.972529,0.000205
