cluster_id,member_count,loop_edge_count,candidate_face_count,surface_signature,relative_area,candidate_ids,host_face_ids,representative_candidate_id
1,21,4,1,6,0.0018,31 32 33 34 35 36 37 38 39 41 42 43 44 45 46 47 48 49 50 51 52,F97 F97 F97 F97 F97 F97 F97 F97 F97 F97 F97 F97 F97 F97 F97 F97 F97 F97 F97 F97 F97,31
2,10,4,1,6,0.0054,19 20 21 22 15 17 18 23 24 25,F70 F70 F70 F70 F40 F70 F70 F70 F70 F70,19
3,10,4,1,6,0.0055,9 10 11 12 13 14 16 26 27 28,F40 F40 F40 F40 F40 F40 F40 F70 F70 F70,9
4,4,4,1,6,0.0063,56 67 57 66,F166 F166 F166 F166,56
5,2,4,1,6,0.0115,60 61,F166 F166,60
6,2,4,4,0 0 1 6,0.0050,71 72,F260 F262,71
7,2,6,6,0 0 0 0 0 0,0.0000,3 6,F2 F2,3
8,2,8,1,6,0.0424,58 65,F166 F166,58
9,1,4,1,6,0.0140,62,F166,62
10,1,4,1,6,0.0141,59,F166,59
11,1,4,1,6,0.0183,63,F166,63
12,1,4,1,6,0.0184,64,F166,64
13,1,4,1,6,0.0232,53,F126,53
14,1,4,1,6,0.0233,54,F126,54
15,1,8,1,6,0.0117,40,F97,40
