model_name,candidate_id,host_face_id,host_area,host_center,inner_loop_index,loop_edge_count,candidate_face_ids,candidate_face_areas,candidate_face_centers,relative_area,candidate_surface_types,heuristic_score
27- DC-10 SolidWorks stp igs_DC 10_wing_rivets.step,3,2,3258.756626,-12.466597 41.600957 -383.044947,3,6,F14 F15 F16 F17 F18 F19,0.003053 0.003060 0.003060 0.003060 0.003060 0.003053,-0.275829 54.003648 -344.315142;-0.224465 54.001764 -344.285508;-0.327191 53.999244 -344.285771;-0.224465 53.995672 -344.226509;-0.327191 53.993151 -344.226772;-0.275829 53.991333 -344.197131,0.000006,0 0 0 0 0 0,50.000
27- DC-10 SolidWorks stp igs_DC 10_wing_rivets.step,6,2,3258.756626,-12.466597 41.600957 -383.044947,6,6,F22 F23 F24 F25 F26 F27,0.001654 0.001653 0.001646 0.001646 0.001653 0.001654,-0.293934 33.145780 -338.401371;-0.293934 33.128624 -338.458125;-0.242570 33.153242 -338.372618;-0.242570 33.118806 -338.486163;-0.191205 33.143485 -338.400676;-0.191205 33.126331 -338.457430,0.000003,0 0 0 0 0 0,50.000
27- DC-10 SolidWorks stp igs_DC 10_wing_rivets.step,71,260,9247.911864,-106.151616 -2.177484 -247.068932,1,4,F264 F265 F266 F267,9.142302 14.688960 12.068232 10.058676,-66.000000 -4.904507 -203.437467;-67.000000 -5.312176 -208.128699;-68.000000 -4.819328 -203.879414;-67.000000 -4.000024 -198.737514,0.004970,0 1 0 6,39.901
27- DC-10 SolidWorks stp igs_DC 10_wing_rivets.step,72,262,9247.907006,106.151616 -2.177484 -247.068932,1,4,F268 F269 F270 F271,14.688960 12.069052 10.058676 9.143172,67.000000 -5.312176 -208.128699;68.000000 -4.819328 -203.879414;67.000000 -4.000024 -198.737514;66.000000 -4.904507 -203.437467,0.004970,1 0 6 0,39.901
27- DC-10 SolidWorks stp igs_DC 10_wing_rivets.step,40,97,11196.195030,-0.040746 15.058949 -154.967194,10,8,F177,130.543203,-21.472394 10.090309 -123.273320,0.011660,6,38.767
27- DC-10 SolidWorks stp igs_DC 10_wing_rivets.step,58,166,3173.336585,-0.000058 14.937702 -35.013078,3,8,F227,134.630204,-16.524250 10.919365 -43.575562,0.042425,6,38.151
27- DC-10 SolidWorks stp igs_DC 10_wing_rivets.step,65,166,3173.336585,-0.000058 14.937702 -35.013078,10,8,F236,134.630856,16.375043 10.007036 -43.548268,0.042426,6,38.151
27- DC-10 SolidWorks stp igs_DC 10_wing_rivets.step,31,97,11196.195030,-0.040746 15.058949 -154.967194,1,4,F168,19.824144,-21.257798 8.961894 -67.876726,0.001771,6,30.965
27- DC-10 SolidWorks stp igs_DC 10_wing_rivets.step,32,97,11196.195030,-0.040746 15.058949 -154.967194,2,4,F169,19.844780,-21.276259 10.052071 -74.965778,0.001772,6,30.965
27- DC-10 SolidWorks stp igs_DC 10_wing_rivets.step,33,97,11196.195030,-0.040746 15.058949 -154.967194,3,4,F170,19.844699,-21.610394 9.929059 -77.986063,0.001772,6,30.965
27- DC-10 SolidWorks stp igs_DC 10_wing_rivets.step,34,97,11196.195030,-0.040746 15.058949 -154.967194,4,4,F171,19.833647,-22.282439 9.550831 -84.424593,0.001771,6,30.965
27- DC-10 SolidWorks stp igs_DC 10_wing_rivets.step,35,97,11196.195030,-0.040746 15.058949 -154.967194,5,4,F172,19.805888,-22.605047 9.247661 -89.640895,0.001769,6,30.965
27- DC-10 SolidWorks stp igs_DC 10_wing_rivets.step,36,97,11196.195030,-0.040746 15.058949 -154.967194,6,4,F173,19.773841,-22.910581 8.878193 -103.507951,0.001766,6,30.965
27- DC-10 SolidWorks stp igs_DC 10_wing_rivets.step,37,97,11196.195030,-0.040746 15.058949 -154.967194,7,4,F174,19.756547,-22.671926 9.541851 -106.978736,0.001765,6,30.965
27- DC-10 SolidWorks stp igs_DC 10_wing_rivets.step,38,97,11196.195030,-0.040746 15.058949 -154.967194,8,4,F175,19.734606,-22.671926 9.541851 -106.978736,0.001763,6,30.965
27- DC-10 SolidWorks stp igs_DC 10_wing_rivets.step,39,97,11196.195030,-0.040746 15.058949 -154.967194,9,4,F176,19.711792,-22.926502 9.161979 -116.687202,0.001761,6,30.965
27- DC-10 SolidWorks stp igs_DC 10_wing_rivets.step,41,97,11196.195030,-0.040746 15.058949 -154.967194,11,4,F178,19.664856,-23.231072 8.719706 -127.793821,0.001756,6,30.965
27- DC-10 SolidWorks stp igs_DC 10_wing_rivets.step,42,97,11196.195030,-0.040746 15.058949 -154.967194,12,4,F179,19.667002,-23.169836 8.856492 -134.381609,0.001757,6,30.965
27- DC-10 SolidWorks stp igs_DC 10_wing_rivets.step,43,97,11196.195030,-0.040746 15.058949 -154.967194,13,4,F180,19.674558,-23.169836 8.856492 -141.022990,0.001757,6,30.965
27- DC-10 SolidWorks stp igs_DC 10_wing_rivets.step,44,97,11196.195030,-0.040746 15.058949 -154.967194,14,4,F181,19.685990,-22.919640 9.212379 -147.560420,0.001758,6,30.965
27- DC-10 SolidWorks stp igs_DC 10_wing_rivets.step,45,97,11196.195030,-0.040746 15.058949 -154.967194,15,4,F182,19.699764,-22.919640 9.212379 -154.225464,0.001760,6,30.965
27- DC-10 SolidWorks stp igs_DC 10_wing_rivets.step,46,97,11196.195030,-0.040746 15.058949 -154.967194,16,4,F183,19.714536,-22.919640 9.212379 -154.225464,0.001761,6,30.965
27- DC-10 SolidWorks stp igs_DC 10_wing_rivets.step,47,97,11196.195030,-0.040746 15.058949 -154.967194,17,4,F184,19.729176,-22.668810 9.586580 -167.449071,0.001762,6,30.965
27- DC-10 SolidWorks stp igs_DC 10_wing_rivets.step,48,97,11196.195030,-0.040746 15.058949 -154.967194,18,4,F185,19.742708,-22.668810 9.586580 -167.449071,0.001763,6,30.965
27- DC-10 SolidWorks stp igs_DC 10_wing_rivets.step,49,97,11196.195030,-0.040746 15.058949 -154.967194,19,4,F186,19.754410,-22.479465 9.850271 -173.512943,0.001764,6,30.965
27- DC-10 SolidWorks stp igs_DC 10_wing_rivets.step,50,97,11196.195030,-0.040746 15.058949 -154.967194,20,4,F187,19.763880,-23.168820 8.776317 -180.454340,0.001765,6,30.965
27- DC-10 SolidWorks stp igs_DC 10_wing_rivets.step,51,97,11196.195030,-0.040746 15.058949 -154.967194,21,4,F188,19.770985,-23.084501 8.911736 -186.233187,0.001766,6,30.965
27- DC-10 SolidWorks stp igs_DC 10_wing_rivets.step,52,97,11196.195030,-0.040746 15.058949 -154.967194,22,4,F189,19.775840,-23.084501 8.963796 -192.966627,0.001766,6,30.965
27- DC-10 SolidWorks stp igs_DC 10_wing_rivets.step,19,70,3659.295428,-0.003956 13.994505 -252.813106,3,4,F103,19.836626,-23.038421 8.913846 -260.770182,0.005421,6,30.892
27- DC-10 SolidWorks stp igs_DC 10_wing_rivets.step,20,70,3659.295428,-0.003956 13.994505 -252.813106,4,4,F104,19.821848,-23.015766 9.070606 -248.493520,0.005417,6,30.892
27- DC-10 SolidWorks stp igs_DC 10_wing_rivets.step,21,70,3659.295428,-0.003956 13.994505 -252.813106,5,4,F105,19.808539,-23.022015 9.101246 -238.876152,0.005413,6,30.892
27- DC-10 SolidWorks stp igs_DC 10_wing_rivets.step,22,70,3659.295428,-0.003956 13.994505 -252.813106,6,4,F106,19.797885,-23.022015 9.113185 -235.351112,0.005410,6,30.892
27- DC-10 SolidWorks stp igs_DC 10_wing_rivets.step,9,40,3647.918269,-0.205289 14.799313 -300.105972,1,4,F78,19.892310,-23.090675 8.675141 -275.482267,0.005453,6,30.891
27- DC-10 SolidWorks stp igs_DC 10_wing_rivets.step,10,40,3647.918269,-0.205289 14.799313 -300.105972,2,4,F79,19.904793,-23.061225 8.542351 -283.042964,0.005456,6,30.891
27- DC-10 SolidWorks stp igs_DC 10_wing_rivets.step,11,40,3647.918269,-0.205289 14.799313 -300.105972,3,4,F80,19.929381,-22.910551 8.410550 -290.265906,0.005463,6,30.891
27- DC-10 SolidWorks stp igs_DC 10_wing_rivets.step,12,40,3647.918269,-0.205289 14.799313 -300.105972,4,4,F81,19.960862,-21.948839 9.388833 -296.823906,0.005472,6,30.891
27- DC-10 SolidWorks stp igs_DC 10_wing_rivets.step,13,40,3647.918269,-0.205289 14.799313 -300.105972,5,4,F82,19.949269,-21.672183 9.328566 -300.593129,0.005469,6,30.891
27- DC-10 SolidWorks stp igs_DC 10_wing_rivets.step,14,40,3647.918269,-0.205289 14.799313 -300.105972,6,4,F83,19.895898,-21.111018 9.197809 -307.839390,0.005454,6,30.891
27- DC-10 SolidWorks stp igs_DC 10_wing_rivets.step,15,40,3647.918269,-0.205289 14.799313 -300.105972,7,4,F84,19.870740,-20.846078 9.132017 -311.022721,0.005447,6,30.891
27- DC-10 SolidWorks stp igs_DC 10_wing_rivets.step,16,40,3647.918269,-0.205289 14.799313 -300.105972,8,4,F85,19.892658,-20.392945 9.007917 -317.655964,0.005453,6,30.891
27- DC-10 SolidWorks stp igs_DC 10_wing_rivets.step,17,70,3659.295428,-0.003956 13.994505 -252.813106,1,4,F101,19.867078,-23.058392 8.811695 -267.805255,0.005429,6,30.891
27- DC-10 SolidWorks stp igs_DC 10_wing_rivets.step,18,70,3659.295428,-0.003956 13.994505 -252.813106,2,4,F102,19.852060,-23.038421 8.913846 -260.770182,0.005425,6,30.891
