"model_name","candidate_id","host_face_id","host_area","host_center","inner_loop_index","loop_edge_count","candidate_face_ids","candidate_face_areas","candidate_face_centers","relative_area","candidate_surface_types","heuristic_score"
"80- 777-300 SolidWorks stp igs_B777_wing_rivets.step","1","59","83358.060678","-0.679061 24.956544 -457.721515","1","4","F283 F284 F285 F286","6.200000 6.000000 6.200000 6.000000","-41.876797 13.465838 -757.581153;-41.036634 16.565838 -754.581153;-41.875225 13.465838 -751.581153;-42.715388 10.365838 -754.581153","0.000293","0 0 0 0","39.994"
"80- 777-300 SolidWorks stp igs_B777_wing_rivets.step","2","59","83358.060678","-0.679061 24.956544 -457.721515","2","4","F287 F288 F289 F290","6.200000 6.000000 6.200000 6.000000","-41.874675 13.465838 -749.481153;-41.034256 16.565838 -746.481153;-41.873103 13.465838 -743.481153;-42.713522 10.365838 -746.481153","0.000293","0 0 0 0","39.994"
"80- 777-300 SolidWorks stp igs_B777_wing_rivets.step","3","59","83358.060678","-0.679061 24.956544 -457.721515","3","4","F291 F292 F293 F294","6.200000 6.000000 6.200000 6.000000","-41.872553 13.465838 -741.381153;-41.031878 16.565838 -738.381153;-41.870981 13.465838 -735.381153;-42.711657 10.365838 -738.381153","0.000293","0 0 0 0","39.994"
"80- 777-300 SolidWorks stp igs_B777_wing_rivets.step","4","59","83358.060678","-0.679061 24.956544 -457.721515","4","4","F295 F296 F297 F298","6.200000 6.000000 6.200000 6.000000","-41.870431 13.465838 -733.281153;-41.029499 16.565838 -730.281153;-41.868859 13.465838 -727.281153;-42.709791 10.365838 -730.281153","0.000293","0 0 0 0","39.994"
"80- 777-300 SolidWorks stp igs_B777_wing_rivets.step","5","59","83358.060678","-0.679061 24.956544 -457.721515","5","4","F299 F300 F301 F302","6.200000 6.000000 6.200000 6.000000","-41.868309 13.465838 -725.181153;-41.027121 16.565838 -722.181153;-41.866737 13.465838 -719.181153;-42.707925 10.365838 -722.181153","0.000293","0 0 0 0","39.994"
"80- 777-300 SolidWorks stp igs_B777_wing_rivets.step","6","59","83358.060678","-0.679061 24.956544 -457.721515","6","4","F303 F304 F305 F306","6.200000 6.000000 6.200000 6.000000","-41.866187 13.465838 -717.081153;-41.024742 16.565838 -714.081153;-41.864614 13.465838 -711.081153;-42.706059 10.365838 -714.081153","0.000293","0 0 0 0","39.994"
"80- 777-300 SolidWorks stp igs_B777_wing_rivets.step","7","59","83358.060678","-0.679061 24.956544 -457.721515","7","4","F307 F308 F309 F310","6.200000 6.000000 6.200000 6.000000","-41.864064 13.465838 -708.981153;-41.022363 16.565838 -705.981153;-41.862492 13.465838 -702.981153;-42.704193 10.365838 -705.981153","0.000293","0 0 0 0","39.994"
"80- 777-300 SolidWorks stp igs_B777_wing_rivets.step","8","59","83358.060678","-0.679061 24.956544 -457.721515","8","4","F311 F312 F313 F314","6.200000 6.000000 6.200000 6.000000","-41.861942 13.465838 -700.881153;-41.019983 16.565838 -697.881153;-41.860369 13.465838 -694.881153;-42.702327 10.365838 -697.881153","0.000293","0 0 0 0","39.994"
"80- 777-300 SolidWorks stp igs_B777_wing_rivets.step","9","59","83358.060678","-0.679061 24.956544 -457.721515","9","4","F315 F316 F317 F318","6.200000 6.000000 6.200000 6.000000","-41.859819 13.465838 -692.781153;-41.017604 16.565838 -689.781153;-41.858246 13.465838 -686.781153;-42.700461 10.365838 -689.781153","0.000293","0 0 0 0","39.994"
"80- 777-300 SolidWorks stp igs_B777_wing_rivets.step","10","59","83358.060678","-0.679061 24.956544 -457.721515","10","4","F319 F320 F321 F322","6.200000 6.000000 6.200000 6.000000","-41.857696 13.465838 -684.681153;-41.015224 16.565838 -681.681153;-41.856123 13.465838 -678.681153;-42.698595 10.365838 -681.681153","0.000293","0 0 0 0","39.994"
"80- 777-300 SolidWorks stp igs_B777_wing_rivets.step","11","59","83358.060678","-0.679061 24.956544 -457.721515","11","4","F323 F324 F325 F326","6.200000 6.000000 6.200000 6.000000","-41.855573 13.465838 -676.581153;-41.012845 16.565838 -673.581153;-41.854000 13.465838 -670.581153;-42.696729 10.365838 -673.581153","0.000293","0 0 0 0","39.994"
"80- 777-300 SolidWorks stp igs_B777_wing_rivets.step","12","59","83358.060678","-0.679061 24.956544 -457.721515","12","4","F327 F328 F329 F330","6.200000 6.000000 6.200000 6.000000","-41.853450 13.465838 -668.481153;-41.010465 16.565838 -665.481153;-41.851877 13.465838 -662.481153;-42.694862 10.365838 -665.481153","0.000293","0 0 0 0","39.994"
"80- 777-300 SolidWorks stp igs_B777_wing_rivets.step","13","59","83358.060678","-0.679061 24.956544 -457.721515","13","4","F331 F332 F333 F334","6.200000 6.000000 6.200000 6.000000","-41.851327 13.465838 -660.381153;-41.008084 16.565838 -657.381153;-41.849754 13.465838 -654.381153;-42.692996 10.365838 -657.381153","0.000293","0 0 0 0","39.994"
"80- 777-300 SolidWorks stp igs_B777_wing_rivets.step","14","59","83358.060678","-0.679061 24.956544 -457.721515","14","4","F335 F336 F337 F338","6.200000 6.000000 6.200000 6.000000","-41.849203 13.465838 -652.281153;-41.005704 16.565838 -649.281153;-41.847630 13.465838 -646.281153;-42.691129 10.365838 -649.281153","0.000293","0 0 0 0","39.994"
"80- 777-300 SolidWorks stp igs_B777_wing_rivets.step","15","59","83358.060678","-0.679061 24.956544 -457.721515","15","4","F339 F340 F341 F342","6.200000 6.000000 6.200000 6.000000","-41.847079 13.465838 -644.181153;-41.003324 16.565838 -641.181153;-41.845506 13.465838 -638.181153;-42.689262 10.365838 -641.181153","0.000293","0 0 0 0","39.994"
"80- 777-300 SolidWorks stp igs_B777_wing_rivets.step","16","59","83358.060678","-0.679061 24.956544 -457.721515","16","4","F343 F344 F345 F346","6.200000 6.000000 6.200000 6.000000","-41.844956 13.465838 -636.081153;-41.000943 16.565838 -633.081153;-41.843383 13.465838 -630.081153;-42.687395 10.365838 -633.081153","0.000293","0 0 0 0","39.994"
"80- 777-300 SolidWorks stp igs_B777_wing_rivets.step","17","59","83358.060678","-0.679061 24.956544 -457.721515","17","4","F347 F348 F349 F350","6.200000 6.000000 6.200000 6.000000","-41.842832 13.465838 -627.981153;-40.998562 16.565838 -624.981153;-41.841259 13.465838 -621.981153;-42.685529 10.365838 -624.981153","0.000293","0 0 0 0","39.994"
"80- 777-300 SolidWorks stp igs_B777_wing_rivets.step","18","59","83358.060678","-0.679061 24.956544 -457.721515","18","4","F351 F352 F353 F354","6.200000 6.000000 6.200000 6.000000","-41.840708 13.465838 -619.881153;-40.996181 16.565838 -616.881153;-41.839134 13.465838 -613.881153;-42.683661 10.365838 -616.881153","0.000293","0 0 0 0","39.994"
"80- 777-300 SolidWorks stp igs_B777_wing_rivets.step","19","59","83358.060678","-0.679061 24.956544 -457.721515","19","4","F355 F356 F357 F358","6.200000 6.000000 6.200000 6.000000","-41.838584 13.465838 -611.781153;-40.993799 16.565838 -608.781153;-41.837010 13.465838 -605.781153;-42.681794 10.365838 -608.781153","0.000293","0 0 0 0","39.994"
"80- 777-300 SolidWorks stp igs_B777_wing_rivets.step","20","59","83358.060678","-0.679061 24.956544 -457.721515","20","4","F359 F360 F361 F362","6.200000 6.000000 6.200000 6.000000","-41.836459 13.465838 -603.681153;-40.991418 16.565838 -600.681153;-41.834886 13.465838 -597.681153;-42.679927 10.365838 -600.681153","0.000293","0 0 0 0","39.994"
"80- 777-300 SolidWorks stp igs_B777_wing_rivets.step","21","59","83358.060678","-0.679061 24.956544 -457.721515","21","4","F363 F364 F365 F366","6.200000 6.000000 6.200000 6.000000","-41.834335 13.465838 -595.581153;-40.989036 16.565838 -592.581153;-41.832761 13.465838 -589.581153;-42.678060 10.365838 -592.581153","0.000293","0 0 0 0","39.994"
"80- 777-300 SolidWorks stp igs_B777_wing_rivets.step","22","59","83358.060678","-0.679061 24.956544 -457.721515","22","4","F367 F368 F369 F370","6.200000 6.000000 6.200000 6.000000","-41.832210 13.465838 -587.481153;-40.986654 16.565838 -584.481153;-41.830636 13.465838 -581.481153;-42.676192 10.365838 -584.481153","0.000293","0 0 0 0","39.994"
"80- 777-300 SolidWorks stp igs_B777_wing_rivets.step","23","59","83358.060678","-0.679061 24.956544 -457.721515","23","4","F371 F372 F373 F374","6.200000 6.000000 6.200000 6.000000","-41.830086 13.465838 -579.381153;-40.984272 16.565838 -576.381153;-41.828512 13.465838 -573.381153;-42.674325 10.365838 -576.381153","0.000293","0 0 0 0","39.994"
