"model_name","candidate_id","host_face_id","host_area","host_center","inner_loop_index","loop_edge_count","candidate_face_ids","candidate_face_areas","candidate_face_centers","relative_area","candidate_surface_types","heuristic_score"
"87- 747-400 stp_beoing 747-400 v6_wing_rivets.step","3","37","10.526692","","isolated_seed_F88","8","F37","10.526692","","1.000000","6","isolated_seed"
"87- 747-400 stp_beoing 747-400 v6_wing_rivets.step","4","42","10.526692","","isolated_seed_F88","8","F42","10.526692","","1.000000","6","isolated_seed"
"87- 747-400 stp_beoing 747-400 v6_wing_rivets.step","5","43","10.536992","","isolated_seed_F88","8","F43","10.536992","","1.000000","6","isolated_seed"
"87- 747-400 stp_beoing 747-400 v6_wing_rivets.step","6","44","10.536996","","isolated_seed_F88","8","F44","10.536996","","1.000000","6","isolated_seed"
"87- 747-400 stp_beoing 747-400 v6_wing_rivets.step","7","45","10.553318","","isolated_seed_F88","8","F45","10.553318","","1.000000","6","isolated_seed"
"87- 747-400 stp_beoing 747-400 v6_wing_rivets.step","8","46","10.553318","","isolated_seed_F88","8","F46","10.553318","","1.000000","6","isolated_seed"
"87- 747-400 stp_beoing 747-400 v6_wing_rivets.step","9","47","10.572041","","isolated_seed_F88","8","F47","10.572041","","1.000000","6","isolated_seed"
"87- 747-400 stp_beoing 747-400 v6_wing_rivets.step","10","48","10.572038","","isolated_seed_F88","8","F48","10.572038","","1.000000","6","isolated_seed"
"87- 747-400 stp_beoing 747-400 v6_wing_rivets.step","11","49","10.588364","","isolated_seed_F88","8","F49","10.588364","","1.000000","6","isolated_seed"
"87- 747-400 stp_beoing 747-400 v6_wing_rivets.step","12","50","10.588360","","isolated_seed_F88","8","F50","10.588360","","1.000000","6","isolated_seed"
"87- 747-400 stp_beoing 747-400 v6_wing_rivets.step","13","51","10.601282","","isolated_seed_F88","8","F51","10.601282","","1.000000","6","isolated_seed"
"87- 747-400 stp_beoing 747-400 v6_wing_rivets.step","14","52","10.601281","","isolated_seed_F88","8","F52","10.601281","","1.000000","6","isolated_seed"
"87- 747-400 stp_beoing 747-400 v6_wing_rivets.step","15","53","10.610932","","isolated_seed_F88","8","F53","10.610932","","1.000000","6","isolated_seed"
"87- 747-400 stp_beoing 747-400 v6_wing_rivets.step","16","54","10.610930","","isolated_seed_F88","8","F54","10.610930","","1.000000","6","isolated_seed"
"87- 747-400 stp_beoing 747-400 v6_wing_rivets.step","17","55","10.618080","","isolated_seed_F88","8","F55","10.618080","","1.000000","6","isolated_seed"
"87- 747-400 stp_beoing 747-400 v6_wing_rivets.step","18","56","10.618078","","isolated_seed_F88","8","F56","10.618078","","1.000000","6","isolated_seed"
"87- 747-400 stp_beoing 747-400 v6_wing_rivets.step","19","57","10.623285","","isolated_seed_F88","8","F57","10.623285","","1.000000","6","isolated_seed"
"87- 747-400 stp_beoing 747-400 v6_wing_rivets.step","20","58","10.623282","","isolated_seed_F88","8","F58","10.623282","","1.000000","6","isolated_seed"
"87- 747-400 stp_beoing 747-400 v6_wing_rivets.step","21","59","10.630500","","isolated_seed_F88","8","F59","10.630500","","1.000000","6","isolated_seed"
"87- 747-400 stp_beoing 747-400 v6_wing_rivets.step","22","60","10.630504","","isolated_seed_F88","8","F60","10.630504","","1.000000","6","isolated_seed"
"87- 747-400 stp_beoing 747-400 v6_wing_rivets.step","23","61","10.630645","","isolated_seed_F88","8","F61","10.630645","","1.000000","6","isolated_seed"
"87- 747-400 stp_beoing 747-400 v6_wing_rivets.step","24","62","10.630641","","isolated_seed_F88","8","F62","10.630641","","1.000000","6","isolated_seed"
"87- 747-400 stp_beoing 747-400 v6_wing_rivets.step","25","63","10.630660","","isolated_seed_F88","8","F63","10.630660","","1.000000","6","isolated_seed"
"87- 747-400 stp_beoing 747-400 v6_wing_rivets.step","26","64","10.630658","","isolated_seed_F88","8","F64","10.630658","","1.000000","6","isolated_seed"
"87- 747-400 stp_beoing 747-400 v6_wing_rivets.step","27","65","10.630793","","isolated_seed_F88","8","F65","10.630793","","1.000000","6","isolated_seed"
"87- 747-400 stp_beoing 747-400 v6_wing_rivets.step","28","66","10.630791","","isolated_seed_F88","8","F66","10.630791","","1.000000","6","isolated_seed"
"87- 747-400 stp_beoing 747-400 v6_wing_rivets.step","29","67","10.631363","","isolated_seed_F88","8","F67","10.631363","","1.000000","6","isolated_seed"
"87- 747-400 stp_beoing 747-400 v6_wing_rivets.step","30","68","10.631361","","isolated_seed_F88","8","F68","10.631361","","1.000000","6","isolated_seed"
"87- 747-400 stp_beoing 747-400 v6_wing_rivets.step","31","69","10.632648","","isolated_seed_F88","8","F69","10.632648","","1.000000","6","isolated_seed"
"87- 747-400 stp_beoing 747-400 v6_wing_rivets.step","32","70","10.632645","","isolated_seed_F88","8","F70","10.632645","","1.000000","6","isolated_seed"
"87- 747-400 stp_beoing 747-400 v6_wing_rivets.step","33","71","10.634926","","isolated_seed_F88","8","F71","10.634926","","1.000000","6","isolated_seed"
"87- 747-400 stp_beoing 747-400 v6_wing_rivets.step","34","72","10.634928","","isolated_seed_F88","8","F72","10.634928","","1.000000","6","isolated_seed"
"87- 747-400 stp_beoing 747-400 v6_wing_rivets.step","35","73","10.638545","","isolated_seed_F88","8","F73","10.638545","","1.000000","6","isolated_seed"
"87- 747-400 stp_beoing 747-400 v6_wing_rivets.step","36","74","10.638542","","isolated_seed_F88","8","F74","10.638542","","1.000000","6","isolated_seed"
"87- 747-400 stp_beoing 747-400 v6_wing_rivets.step","37","75","10.643975","","isolated_seed_F88","8","F75","10.643975","","1.000000","6","isolated_seed"
"87- 747-400 stp_beoing 747-400 v6_wing_rivets.step","38","76","10.643975","","isolated_seed_F88","8","F76","10.643975","","1.000000","6","isolated_seed"
"87- 747-400 stp_beoing 747-400 v6_wing_rivets.step","39","77","10.651971","","isolated_seed_F88","8","F77","10.651971","","1.000000","6","isolated_seed"
"87- 747-400 stp_beoing 747-400 v6_wing_rivets.step","40","78","10.651971","","isolated_seed_F88","8","F78","10.651971","","1.000000","6","isolated_seed"
"87- 747-400 stp_beoing 747-400 v6_wing_rivets.step","41","79","10.663619","","isolated_seed_F88","8","F79","10.663619","","1.000000","6","isolated_seed"
"87- 747-400 stp_beoing 747-400 v6_wing_rivets.step","42","80","10.663620","","isolated_seed_F88","8","F80","10.663620","","1.000000","6","isolated_seed"
"87- 747-400 stp_beoing 747-400 v6_wing_rivets.step","43","81","10.680101","","isolated_seed_F88","8","F81","10.680101","","1.000000","6","isolated_seed"
"87- 747-400 stp_beoing 747-400 v6_wing_rivets.step","44","82","10.680102","","isolated_seed_F88","8","F82","10.680102","","1.000000","6","isolated_seed"
"87- 747-400 stp_beoing 747-400 v6_wing_rivets.step","45","83","10.702477","","isolated_seed_F88","8","F83","10.702477","","1.000000","6","isolated_seed"
"87- 747-400 stp_beoing 747-400 v6_wing_rivets.step","46","84","10.702479","","isolated_seed_F88","8","F84","10.702479","","1.000000","6","isolated_seed"
"87- 747-400 stp_beoing 747-400 v6_wing_rivets.step","47","85","10.731362","","isolated_seed_F88","8","F85","10.731362","","1.000000","6","isolated_seed"
"87- 747-400 stp_beoing 747-400 v6_wing_rivets.step","48","86","10.731361","","isolated_seed_F88","8","F86","10.731361","","1.000000","6","isolated_seed"
