model_name,candidate_id,host_face_id,host_area,host_center,inner_loop_index,loop_edge_count,candidate_face_ids,candidate_face_areas,candidate_face_centers,relative_area,candidate_surface_types,heuristic_score
90- 737-800 stp_airplane boeing 737-800_wing_rivets.step,1,101,84283.910159,1072.195566 6697.642507 1019.914001,seed_component,8,F103 F104 F105 F106 F107 F108 F109 F110,490101.300916 650257.621985 468836.781951 234670.442546 462136.713298 638188.504093 483566.554843 247828.736678,0.000041 5779.009258 819.452148;0.000000 5822.509258 955.146557;0.000000 5779.009258 1090.840965;0.000000 5700.849525 1134.340965;0.000000 5622.689793 1090.840965;0.000000 5579.189793 955.146557;0.000000 5622.689793 819.452148;0.000000 5700.849525 775.952148,43.609589,1 0 1 0 1 0 1 0,seed_topology
90- 737-800 stp_airplane boeing 737-800_wing_rivets.step,2,111,83738.521925,1072.195566 6697.642507 1019.914001,seed_component,8,F113 F114 F115 F116 F117 F118 F119 F120,503968.991717 668617.218178 483049.872505 242561.670537 479035.278254 661373.604422 500044.013160 255484.281577,-0.000001 6308.035829 819.452148;0.000000 6351.535829 955.146557;0.000000 6308.035829 1090.840965;0.000000 6229.876097 1134.340965;0.000000 6151.716364 1090.840965;0.000000 6108.216364 955.146557;0.000000 6151.716364 819.452148;0.000000 6229.876097 775.952148,45.309313,1 0 1 0 1 0 1 0,seed_topology
90- 737-800 stp_airplane boeing 737-800_wing_rivets.step,3,121,83508.683650,1072.195566 8834.318676 1029.562561,seed_component,8,F123 F124 F125 F126 F127 F128 F129 F130,511805.250063 678935.242400 491074.683857 247082.798230 488876.360577 674966.382917 509656.077305 259877.015728,0.000018 6837.062400 819.452148;0.000000 6880.562400 955.146557;0.000000 6837.062400 1090.840965;0.000000 6758.902668 1134.340965;0.000000 6680.742936 1090.840965;0.000000 6637.242936 955.146557;0.000000 6680.742936 819.452148;0.000000 6758.902668 775.952148,46.249966,1 0 1 0 1 0 1 0,seed_topology
90- 737-800 stp_airplane boeing 737-800_wing_rivets.step,4,131,83427.159381,1072.195566 8834.318676 1029.562561,seed_component,8,F133 F134 F135 F136 F137 F138 F139 F140,516108.477672 684609.951603 495483.269868 249559.260080 494262.119808 682406.356157 514915.059316 262282.057436,0.000001 7366.088972 819.452148;0.000000 7409.588972 955.146557;0.000000 7366.088972 1090.840965;0.000000 7287.929239 1134.340965;0.000000 7209.769507 1090.840965;0.000000 7166.269507 955.146557;0.000000 7209.769507 819.452148;0.000000 7287.929239 775.952148,46.742890,1 0 1 0 1 0 1 0,seed_topology
90- 737-800 stp_airplane boeing 737-800_wing_rivets.step,5,141,83394.487114,1072.195566 8834.318676 1029.562561,seed_component,8,F143 F144 F145 F146 F147 F148 F149 F150,518469.244147 687715.539013 497902.508710 250926.190039 497244.538565 686528.352548 517826.350721 263609.100028,-0.000001 7895.115543 819.452148;0.000000 7938.615543 955.146557;0.000000 7895.115543 1090.840965;0.000000 7816.955811 1134.340965;0.000000 7738.796079 1090.840965;0.000000 7695.296079 955.146557;0.000000 7738.796079 819.452148;0.000000 7816.955811 775.952148,47.008165,1 0 1 0 1 0 1 0,seed_topology
90- 737-800 stp_airplane boeing 737-800_wing_rivets.step,6,151,83381.001505,1072.195566 8834.318676 1029.562561,seed_component,8,F153 F154 F155 F156 F157 F158 F159 F160,519656.176717 689263.517092 499119.032921 251628.919521 498806.907043 688700.198744 519351.230486 264291.196184,-0.000001 8424.142115 819.452148;0.000000 8467.642115 955.146557;0.000000 8424.142115 1090.840965;0.000000 8345.982382 1134.340965;0.000000 8267.822650 1090.840965;0.000000 8224.322650 955.146557;0.000000 8267.822650 819.452148;0.000000 8345.982382 775.952148,47.142840,1 0 1 0 1 0 1 0,seed_topology
90- 737-800 stp_airplane boeing 737-800_wing_rivets.step,7,161,83376.165671,1072.195566 8834.318676 1029.562561,seed_component,8,F163 F164 F165 F166 F167 F168 F169 F170,520131.515859 689870.059018 499606.287238 251926.176761 499499.422398 689676.904241 520027.112240 264579.699533,0.000000 8953.168686 819.452148;0.000000 8996.668686 955.146557;0.000000 8953.168686 1090.840965;0.000000 8875.008954 1134.340965;0.000000 8796.849221 1090.840965;0.000000 8753.349221 955.146557;0.000000 8796.849221 819.452148;0.000000 8875.008954 775.952148,47.199546,1 0 1 0 1 0 1 0,seed_topology
90- 737-800 stp_airplane boeing 737-800_wing_rivets.step,8,171,83375.104576,1072.195566 8834.318676 1029.562561,seed_component,8,F173 F174 F175 F176 F177 F178 F179 F180,520231.710072 689988.783267 499709.008868 252000.546552 499698.246098 689968.875466 520221.184285 264651.876813,0.000001 9482.195258 819.452148;0.000000 9525.695258 955.146557;0.000000 9482.195258 1090.840965;0.000000 9404.035525 1134.340965;0.000000 9325.875793 1090.840965;0.000000 9282.375793 955.146557;0.000000 9325.875793 819.452148;0.000000 9404.035525 775.952148,47.213977,1 0 1 0 1 0 1 0,seed_topology
90- 737-800 stp_airplane boeing 737-800_wing_rivets.step,9,181,83375.054800,1072.195566 10573.013210 1040.716095,seed_component,8,F183 F184 F185 F186 F187 F188 F189 F190,520232.832145 689989.449951 499710.159291 252002.849601 499710.169548 689989.449951 520232.823005 264654.111951,0.000001 10011.221829 819.452148;0.000000 10054.721829 955.146557;0.000000 10011.221829 1090.840965;0.000000 9933.062097 1134.340965;0.000000 9854.902364 1090.840965;0.000000 9811.402364 955.146557;-0.000001 9854.902364 819.452148;0.000000 9933.062097 775.952148,47.214624,1 0 1 0 1 0 1 0,seed_topology
90- 737-800 stp_airplane boeing 737-800_wing_rivets.step,10,191,83375.043885,1072.195566 10573.013210 1040.716095,seed_component,8,F193 F194 F195 F196 F197 F198 F199 F200,520232.829281 689989.449951 499710.169231 252002.849616 499710.164457 689989.449951 520232.819879 264654.111966,0.000001 10540.248400 819.452148;0.000000 10583.748400 955.146557;0.000000 10540.248400 1090.840965;0.000000 10462.088668 1134.340965;0.000000 10383.928936 1090.840965;0.000000 10340.428936 955.146557;-0.000001 10383.928936 819.452148;0.000000 10462.088668 775.952148,47.214630,1 0 1 0 1 0 1 0,seed_topology
