model_name,candidate_id,host_face_id,host_area,host_center,inner_loop_index,loop_edge_count,candidate_face_ids,candidate_face_areas,candidate_face_centers,relative_area,candidate_surface_types,heuristic_score
91- 737-800 stp 3dm_737_wing_rivets.step,1,,,,paired_face,2,F176 F843,0.590671 0.157872,4.155416 -22.865480 -0.856084;4.145821 -22.865459 -0.852858,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,2,,,,paired_face,2,F400 F844,0.590785 0.157917,4.187319 -21.559941 -0.855997;4.177752 -21.559934 -0.852728,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,3,,,,paired_face,2,F408 F845,0.590721 0.157879,4.199579 -20.254384 -0.856022;4.190419 -20.254389 -0.852768,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,4,,,,paired_face,2,F440 F846,0.590661 0.157861,4.210104 -18.948828 -0.856049;4.201005 -18.948834 -0.852817,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,5,,,,paired_face,2,F320 F847,0.590594 0.157840,4.219579 -17.643272 -0.856076;4.210536 -17.643278 -0.852866,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,6,,,,paired_face,2,F232 F848,0.590521 0.157819,4.228178 -16.337716 -0.856102;4.219188 -16.337723 -0.852915,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,7,,,,paired_face,2,F332 F849,0.597403 0.159420,-4.020555 30.240432 -0.855819;-4.011606 30.240546 -0.852268,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,8,,,,paired_face,2,F220 F850,0.595164 0.158828,-4.134212 28.934859 -0.855938;-4.125279 28.934945 -0.852498,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,9,,,,paired_face,2,F252 F851,0.590830 0.157765,-4.187324 -21.559963 -0.856024;-4.177746 -21.559999 -0.852725,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,10,,,,paired_face,2,F272 F852,0.589628 0.157414,-4.305394 5.579120 -0.856400;-4.296834 5.579101 -0.853374,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,11,,,,paired_face,2,F260 F853,0.590767 0.157760,-4.199584 -20.254405 -0.856049;-4.190414 -20.254428 -0.852766,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,12,,,,paired_face,2,F212 F858,0.590639 0.157722,-4.219584 -17.643294 -0.856102;-4.210531 -17.643317 -0.852864,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,13,,,,paired_face,2,F196 F859,0.590567 0.157700,-4.228183 -16.337738 -0.856129;-4.219183 -16.337762 -0.852914,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,14,,,,paired_face,2,F340 F860,0.590490 0.157678,-4.236033 -15.032182 -0.856155;-4.227076 -15.032205 -0.852935,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,15,,,,paired_face,2,F276 F861,0.590168 0.157598,-4.093082 -24.171043 -0.856364;-4.083672 -24.171023 -0.853311,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,16,,,,paired_face,2,F424 F862,0.590123 0.157726,4.093078 -24.171021 -0.856338;4.083679 -24.170984 -0.853314,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,17,,,,paired_face,2,F392 F863,0.589588 0.157554,4.305792 0.634514 -0.856372;4.297242 0.634512 -0.853382,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,18,,,,paired_face,2,F304 F864,0.589339 0.157367,-4.001703 -25.476592 -0.856761;-3.992625 -25.476561 -0.854068,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,19,,,,paired_face,2,F468 F865,0.593316 0.158534,4.223789 27.629309 -0.856033;4.214891 27.629399 -0.852750,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,20,,,,paired_face,2,F456 F866,0.588418 0.157238,3.882030 -26.782130 -0.857246;3.873415 -26.782088 -0.855045,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,21,,,,paired_face,2,F200 F867,0.590159 0.157532,-4.361971 23.712580 -0.856334;-4.353133 23.712593 -0.853235,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,22,,,,paired_face,2,F488 F868,0.589632 0.157568,4.301369 -1.976601 -0.856362;4.292750 -1.976607 -0.853359,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,23,,,,paired_face,2,F372 F869,0.589406 0.157336,-4.304272 17.184779 -0.856465;-4.295871 17.184757 -0.853491,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,24,,,,paired_face,2,F236 F870,0.589741 0.157420,-4.367707 22.407013 -0.856394;-4.358901 22.407005 -0.853348,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,25,,,,paired_face,2,F316 F871,0.589431 0.157340,-4.314492 18.490337 -0.856463;-4.306108 18.490315 -0.853486,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,26,,,,paired_face,2,F324 F872,0.589506 0.157357,-4.330630 19.795895 -0.856454;-4.322267 19.795876 -0.853467,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,27,,,,paired_face,2,F296 F873,0.591940 0.157984,-4.290845 26.323717 -0.856162;-4.281951 26.323753 -0.852904,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,28,,,,paired_face,2,F300 F874,0.590884 0.157726,-4.336587 25.018148 -0.856257;-4.327718 25.018184 -0.853085,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,29,,,,paired_face,2,F280 F875,0.589620 0.157411,-4.304741 8.045888 -0.856403;-4.296183 8.045868 -0.853379,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,30,,,,paired_face,2,F264 F876,0.589538 0.157384,-4.298821 11.962553 -0.856426;-4.290328 11.962530 -0.853421,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,31,,,,paired_face,2,F364 F877,0.589411 0.157340,-4.298411 15.879223 -0.856461;-4.289992 15.879200 -0.853485,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,32,,,,paired_face,2,F284 F878,0.589438 0.157351,-4.295947 14.573666 -0.856453;-4.287506 14.573643 -0.853471,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,33,,,,paired_face,2,F268 F879,0.589625 0.157413,-4.305148 6.740332 -0.856401;-4.296588 6.740312 -0.853376,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,34,,,,paired_face,2,F500 F880,0.589367 0.157489,4.298406 15.879244 -0.856435;4.290000 15.879241 -0.853500,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,35,,,,paired_face,2,F432 F881,0.589393 0.157497,4.295942 14.573687 -0.856427;4.287514 14.573683 -0.853484,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,36,,,,paired_face,2,F428 F882,0.589574 0.157548,4.304736 8.045909 -0.856376;4.296190 8.045909 -0.853389,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,37,,,,paired_face,2,F412 F883,0.589493 0.157526,4.298816 11.962574 -0.856399;4.290336 11.962568 -0.853433,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,38,,,,paired_face,2,F240 F884,0.589565 0.157543,4.304089 9.351465 -0.856378;4.295543 9.351467 -0.853393,,6 6,paired_face
