model,host_face_id,surface,area,selected_at,selection_note
109-ww1-standart-e-1-aircraft CATIA STP_standart-e1_wing_rivets.step,78,bspline,461817.372579,2026-07-18T09:52:00+08:00,
116-TBF stp_TBM-1 Avenger v1_wing_rivets.step,833,bspline,94.832,2026-07-19T10:23:29+08:00,existing decal retained on F833; copied from after_rivet without adding a star decal
136-Slimer 15 STP_Slimer 15_wing_rivets.step,82,plane,32558.195,2026-07-19T10:36:00+08:00,star decal added and labels exported
144-P-80A Shooting Star STP STL_P-80A Shooting Star v1_wing_rivets.step,135,,,2026-07-19T10:46:47+08:00,existing decal retained on F135; copied from after_rivet without adding a star decal
221-cessna-model-grand-caravan STP_cessn CARAVAN v13_wing_rivets.step,3775,bspline,4737.316972,2026-07-19T18:37:40+08:00,V13 text decal cut directly from original F3775 face and labels exported
237-an-124 STP STL_Antonov An-124 Rusian v2_wing_rivets.step,207,,,2026-07-19T18:42:50+08:00,V2 text decal cut directly from original F207 face and labels exported
245-A-10 fairchild republic stp igs_A-10_wing_rivets.step,,,,2026-07-19T18:49:43+08:00,existing geometric features retained; copied from after_rivet without adding a decal
27- DC-10 SolidWorks stp igs_DC 10_wing_rivets.step,,,,2026-07-19T18:51:30+08:00,existing window features treated as decals; copied from after_rivet without adding a decal
4-20 xi-an y20 STP STL_Xian Y-20 v3_wing_rivets.step,,,,2026-07-19T18:52:51+08:00,existing tail decal retained; copied from after_rivet without adding a decal
47- a340-300 stp_a340 v3_wing_rivets.step,230,,,2026-07-19T19:00:36+08:00,V3 text decal cut directly from original F230 face with 180-degree rotation and labels exported
6--78 il-78 stp_IL-78 Fusion v19_wing_rivets.step,,,,2026-07-19T19:03:11+08:00,existing decal retained; copied from after_rivet without adding a decal
68- KC46 pegasus STP STL_Boeing KC-46 Peguses v4_wing_rivets.step,,,,2026-07-19T19:06:52+08:00,existing decal retained; copied from after_rivet without adding a decal
80- 777-300 SolidWorks stp igs_B777_wing_rivets.step,,,,2026-07-19T19:08:21+08:00,existing window features treated as decals; copied from after_rivet without adding a decal
87- 747-400 stp_beoing 747-400 v6_wing_rivets.step,,,,2026-07-19T19:14:57+08:00,existing window features treated as decals; copied from after_rivet without adding a decal
90- 737-800 stp_airplane boeing 737-800_wing_rivets.step,,,,2026-07-19T19:16:26+08:00,existing window features treated as decals; copied from after_rivet without adding a decal
91- 737-800 stp 3dm_737_wing_rivets.step,,,,2026-07-19T19:18:03+08:00,existing window features treated as decals; copied from after_rivet without adding a decal
95- 737-800-4 CREO STP_boeing_737_cj_wing_rivets.step,,,,2026-07-19T19:19:12+08:00,existing window features treated as decals; copied from after_rivet without adding a decal
