face_id,surface,area,score
1166,bspline,364480406.543181,1822402032.715903
771,bspline,54976815.871488,274884079.357439
1186,bspline,54976815.871488,274884079.357439
769,bspline,53920946.921557,269604734.607785
1193,bspline,53920946.921556,269604734.607781
737,bspline,43698510.770413,218492553.852065
1164,bspline,43698510.770412,218492553.852060
738,bspline,43203533.223095,216017666.115477
1197,bspline,43203533.223095,216017666.115477
698,bspline,36919398.992649,184596994.963244
1161,bspline,36919398.992625,184596994.963126
701,bspline,35767983.769548,178839918.847741
