"split","key","source_path","step_path","rivet_only_path","label_path"
"train","112-V-22 CATIA STP_Product1","D:\Projects\gjy_byproject\data\plane_model\source\112-V-22 CATIA STP_Product1.stp","D:\Projects\gjy_byproject\data\plane_model\step\112-V-22 CATIA STP_Product1_wing_rivets.step","D:\Projects\gjy_byproject\data\plane_model\step\112-V-22 CATIA STP_Product1_rivet_only.step","D:\Projects\gjy_byproject\data\plane_model\label\112-V-22 CATIA STP_Product1_wing_rivets.labels.json"
"train","116-TBF stp_TBM-1 Avenger v1","D:\Projects\gjy_byproject\data\plane_model\source\116-TBF stp_TBM-1 Avenger v1.step","D:\Projects\gjy_byproject\data\plane_model\step\116-TBF stp_TBM-1 Avenger v1_wing_rivets.step","D:\Projects\gjy_byproject\data\plane_model\step\116-TBF stp_TBM-1 Avenger v1_rivet_only.step","D:\Projects\gjy_byproject\data\plane_model\label\116-TBF stp_TBM-1 Avenger v1_wing_rivets.labels.json"
"train","136-Slimer 15 STP_Slimer 15","D:\Projects\gjy_byproject\data\plane_model\source\136-Slimer 15 STP_Slimer 15.step","D:\Projects\gjy_byproject\data\plane_model\step\136-Slimer 15 STP_Slimer 15_wing_rivets.step","D:\Projects\gjy_byproject\data\plane_model\step\136-Slimer 15 STP_Slimer 15_rivet_only.step","D:\Projects\gjy_byproject\data\plane_model\label\136-Slimer 15 STP_Slimer 15_wing_rivets.labels.json"
"train","141-piper cub j3 stp_jb_cubj3_assy_asm","D:\Projects\gjy_byproject\data\plane_model\source\141-piper cub j3 stp_jb_cubj3_assy_asm.stp","D:\Projects\gjy_byproject\data\plane_model\step\141-piper cub j3 stp_jb_cubj3_assy_asm_wing_rivets.step","D:\Projects\gjy_byproject\data\plane_model\step\141-piper cub j3 stp_jb_cubj3_assy_asm_rivet_only.step","D:\Projects\gjy_byproject\data\plane_model\label\141-piper cub j3 stp_jb_cubj3_assy_asm_wing_rivets.labels.json"
"train","144-P-80A Shooting Star STP STL_P-80A Shooting Star v1","D:\Projects\gjy_byproject\data\plane_model\source\144-P-80A Shooting Star STP STL_P-80A Shooting Star v1.step","D:\Projects\gjy_byproject\data\plane_model\step\144-P-80A Shooting Star STP STL_P-80A Shooting Star v1_wing_rivets.step","D:\Projects\gjy_byproject\data\plane_model\step\144-P-80A Shooting Star STP STL_P-80A Shooting Star v1_rivet_only.step","D:\Projects\gjy_byproject\data\plane_model\label\144-P-80A Shooting Star STP STL_P-80A Shooting Star v1_wing_rivets.labels.json"
"train","149-Nobler 1000 STP_Nobler 1000","D:\Projects\gjy_byproject\data\plane_model\source\149-Nobler 1000 STP_Nobler 1000.step","D:\Projects\gjy_byproject\data\plane_model\step\149-Nobler 1000 STP_Nobler 1000_wing_rivets.step","D:\Projects\gjy_byproject\data\plane_model\step\149-Nobler 1000 STP_Nobler 1000_rivet_only.step","D:\Projects\gjy_byproject\data\plane_model\label\149-Nobler 1000 STP_Nobler 1000_wing_rivets.labels.json"
"train","157-lord-of-wind INV STP_Leleka-ur","D:\Projects\gjy_byproject\data\plane_model\source\157-lord-of-wind INV STP_Leleka-ur.stp","D:\Projects\gjy_byproject\data\plane_model\step\157-lord-of-wind INV STP_Leleka-ur_wing_rivets.step","D:\Projects\gjy_byproject\data\plane_model\step\157-lord-of-wind INV STP_Leleka-ur_rivet_only.step","D:\Projects\gjy_byproject\data\plane_model\label\157-lord-of-wind INV STP_Leleka-ur_wing_rivets.labels.json"
"train","175-J-10B CATIA STP_Product1","D:\Projects\gjy_byproject\data\plane_model\source\175-J-10B CATIA STP_Product1.stp","D:\Projects\gjy_byproject\data\plane_model\step\175-J-10B CATIA STP_Product1_wing_rivets.step","D:\Projects\gjy_byproject\data\plane_model\step\175-J-10B CATIA STP_Product1_rivet_only.step","D:\Projects\gjy_byproject\data\plane_model\label\175-J-10B CATIA STP_Product1_wing_rivets.labels.json"
"train","197-f-86-fighter-aircraft STP_f 86 s v9","D:\Projects\gjy_byproject\data\plane_model\source\197-f-86-fighter-aircraft STP_f 86 s v9.step","D:\Projects\gjy_byproject\data\plane_model\step\197-f-86-fighter-aircraft STP_f 86 s v9_wing_rivets.step","D:\Projects\gjy_byproject\data\plane_model\step\197-f-86-fighter-aircraft STP_f 86 s v9_rivet_only.step","D:\Projects\gjy_byproject\data\plane_model\label\197-f-86-fighter-aircraft STP_f 86 s v9_wing_rivets.labels.json"
"train","202-f-16 stp_F16 Assembly","D:\Projects\gjy_byproject\data\plane_model\source\202-f-16 stp_F16 Assembly.STEP","D:\Projects\gjy_byproject\data\plane_model\step\202-f-16 stp_F16 Assembly_wing_rivets.step","D:\Projects\gjy_byproject\data\plane_model\step\202-f-16 stp_F16 Assembly_rivet_only.step","D:\Projects\gjy_byproject\data\plane_model\label\202-f-16 stp_F16 Assembly_wing_rivets.labels.json"
"train","213-F14 tomcat SolidWorks stp_Tomcat-assembly","D:\Projects\gjy_byproject\data\plane_model\source\213-F14 tomcat SolidWorks stp_Tomcat-assembly.STEP","D:\Projects\gjy_byproject\data\plane_model\step\213-F14 tomcat SolidWorks stp_Tomcat-assembly_wing_rivets.step","D:\Projects\gjy_byproject\data\plane_model\step\213-F14 tomcat SolidWorks stp_Tomcat-assembly_rivet_only.step","D:\Projects\gjy_byproject\data\plane_model\label\213-F14 tomcat SolidWorks stp_Tomcat-assembly_wing_rivets.labels.json"
"train","221-cessna-model-grand-caravan STP_cessn CARAVAN v5","D:\Projects\gjy_byproject\data\plane_model\source\221-cessna-model-grand-caravan STP_cessn CARAVAN v5.step","D:\Projects\gjy_byproject\data\plane_model\step\221-cessna-model-grand-caravan STP_cessn CARAVAN v5_wing_rivets.step","D:\Projects\gjy_byproject\data\plane_model\step\221-cessna-model-grand-caravan STP_cessn CARAVAN v5_rivet_only.step","D:\Projects\gjy_byproject\data\plane_model\label\221-cessna-model-grand-caravan STP_cessn CARAVAN v5_wing_rivets.labels.json"
"train","228-BOEING747 STP_BOEING747","D:\Projects\gjy_byproject\data\plane_model\source\228-BOEING747 STP_BOEING747.stp","D:\Projects\gjy_byproject\data\plane_model\step\228-BOEING747 STP_BOEING747_wing_rivets.step","D:\Projects\gjy_byproject\data\plane_model\step\228-BOEING747 STP_BOEING747_rivet_only.step","D:\Projects\gjy_byproject\data\plane_model\label\228-BOEING747 STP_BOEING747_wing_rivets.labels.json"
"train","237-an-124 STP STL_Antonov An-124 Rusian v2","D:\Projects\gjy_byproject\data\plane_model\source\237-an-124 STP STL_Antonov An-124 Rusian v2.step","D:\Projects\gjy_byproject\data\plane_model\step\237-an-124 STP STL_Antonov An-124 Rusian v2_wing_rivets.step","D:\Projects\gjy_byproject\data\plane_model\step\237-an-124 STP STL_Antonov An-124 Rusian v2_rivet_only.step","D:\Projects\gjy_byproject\data\plane_model\label\237-an-124 STP STL_Antonov An-124 Rusian v2_wing_rivets.labels.json"
"train","245-A-10 fairchild republic stp igs_A-10","D:\Projects\gjy_byproject\data\plane_model\source\245-A-10 fairchild republic stp igs_A-10.stp","D:\Projects\gjy_byproject\data\plane_model\step\245-A-10 fairchild republic stp igs_A-10_wing_rivets.step","D:\Projects\gjy_byproject\data\plane_model\step\245-A-10 fairchild republic stp igs_A-10_rivet_only.step","D:\Projects\gjy_byproject\data\plane_model\label\245-A-10 fairchild republic stp igs_A-10_wing_rivets.labels.json"
"train","27- DC-10 SolidWorks stp igs_DC 10","D:\Projects\gjy_byproject\data\plane_model\source\27- DC-10 SolidWorks stp igs_DC 10.STEP","D:\Projects\gjy_byproject\data\plane_model\step\27- DC-10 SolidWorks stp igs_DC 10_wing_rivets.step","D:\Projects\gjy_byproject\data\plane_model\step\27- DC-10 SolidWorks stp igs_DC 10_rivet_only.step","D:\Projects\gjy_byproject\data\plane_model\label\27- DC-10 SolidWorks stp igs_DC 10_wing_rivets.labels.json"
"train","35- defence c295_c295 1 v14q","D:\Projects\gjy_byproject\data\plane_model\source\35- defence c295_c295 1 v14q.step","D:\Projects\gjy_byproject\data\plane_model\step\35- defence c295_c295 1 v14q_wing_rivets.step","D:\Projects\gjy_byproject\data\plane_model\step\35- defence c295_c295 1 v14q_rivet_only.step","D:\Projects\gjy_byproject\data\plane_model\label\35- defence c295_c295 1 v14q_wing_rivets.labels.json"
"train","47- a340-300 stp_a340 v3","D:\Projects\gjy_byproject\data\plane_model\source\47- a340-300 stp_a340 v3.step","D:\Projects\gjy_byproject\data\plane_model\step\47- a340-300 stp_a340 v3_wing_rivets.step","D:\Projects\gjy_byproject\data\plane_model\step\47- a340-300 stp_a340 v3_rivet_only.step","D:\Projects\gjy_byproject\data\plane_model\label\47- a340-300 stp_a340 v3_wing_rivets.labels.json"
"train","51- a320-200 stp_a320 neo fs v4","D:\Projects\gjy_byproject\data\plane_model\source\51- a320-200 stp_a320 neo fs v4.step","D:\Projects\gjy_byproject\data\plane_model\step\51- a320-200 stp_a320 neo fs v4_wing_rivets.step","D:\Projects\gjy_byproject\data\plane_model\step\51- a320-200 stp_a320 neo fs v4_rivet_only.step","D:\Projects\gjy_byproject\data\plane_model\label\51- a320-200 stp_a320 neo fs v4_wing_rivets.labels.json"
"train","6--78 il-78 stp_IL-78 Fusion v19","D:\Projects\gjy_byproject\data\plane_model\source\6--78 il-78 stp_IL-78 Fusion v19.step","D:\Projects\gjy_byproject\data\plane_model\step\6--78 il-78 stp_IL-78 Fusion v19_wing_rivets.step","D:\Projects\gjy_byproject\data\plane_model\step\6--78 il-78 stp_IL-78 Fusion v19_rivet_only.step","D:\Projects\gjy_byproject\data\plane_model\label\6--78 il-78 stp_IL-78 Fusion v19_wing_rivets.labels.json"
"train","79- 777x CATIA SolidWorks stp_flight1 no data","D:\Projects\gjy_byproject\data\plane_model\source\79- 777x CATIA SolidWorks stp_flight1 no data.stp","D:\Projects\gjy_byproject\data\plane_model\step\79- 777x CATIA SolidWorks stp_flight1 no data_wing_rivets.step","D:\Projects\gjy_byproject\data\plane_model\step\79- 777x CATIA SolidWorks stp_flight1 no data_rivet_only.step","D:\Projects\gjy_byproject\data\plane_model\label\79- 777x CATIA SolidWorks stp_flight1 no data_wing_rivets.labels.json"
"train","80- 777-300 SolidWorks stp igs_B777","D:\Projects\gjy_byproject\data\plane_model\source\80- 777-300 SolidWorks stp igs_B777.STEP","D:\Projects\gjy_byproject\data\plane_model\step\80- 777-300 SolidWorks stp igs_B777_wing_rivets.step","D:\Projects\gjy_byproject\data\plane_model\step\80- 777-300 SolidWorks stp igs_B777_rivet_only.step","D:\Projects\gjy_byproject\data\plane_model\label\80- 777-300 SolidWorks stp igs_B777_wing_rivets.labels.json"
"train","87- 747-400 stp_beoing 747-400 v7","D:\Projects\gjy_byproject\data\plane_model\source\87- 747-400 stp_beoing 747-400 v7.step","D:\Projects\gjy_byproject\data\plane_model\step\87- 747-400 stp_beoing 747-400 v7_wing_rivets.step","D:\Projects\gjy_byproject\data\plane_model\step\87- 747-400 stp_beoing 747-400 v7_rivet_only.step","D:\Projects\gjy_byproject\data\plane_model\label\87- 747-400 stp_beoing 747-400 v7_wing_rivets.labels.json"
"train","89- 737-800 stp igs x_t STL_AIR INDIA BOEING 737-800","D:\Projects\gjy_byproject\data\plane_model\source\89- 737-800 stp igs x_t STL_AIR INDIA BOEING 737-800.STEP","D:\Projects\gjy_byproject\data\plane_model\step\89- 737-800 stp igs x_t STL_AIR INDIA BOEING 737-800_wing_rivets.step","D:\Projects\gjy_byproject\data\plane_model\step\89- 737-800 stp igs x_t STL_AIR INDIA BOEING 737-800_rivet_only.step","D:\Projects\gjy_byproject\data\plane_model\label\89- 737-800 stp igs x_t STL_AIR INDIA BOEING 737-800_wing_rivets.labels.json"
"train","90- 737-800 stp_airplane boeing 737-800","D:\Projects\gjy_byproject\data\plane_model\source\90- 737-800 stp_airplane boeing 737-800.step","D:\Projects\gjy_byproject\data\plane_model\step\90- 737-800 stp_airplane boeing 737-800_wing_rivets.step","D:\Projects\gjy_byproject\data\plane_model\step\90- 737-800 stp_airplane boeing 737-800_rivet_only.step","D:\Projects\gjy_byproject\data\plane_model\label\90- 737-800 stp_airplane boeing 737-800_wing_rivets.labels.json"
"train","91- 737-800 stp 3dm_737","D:\Projects\gjy_byproject\data\plane_model\source\91- 737-800 stp 3dm_737.stp","D:\Projects\gjy_byproject\data\plane_model\step\91- 737-800 stp 3dm_737_wing_rivets.step","D:\Projects\gjy_byproject\data\plane_model\step\91- 737-800 stp 3dm_737_rivet_only.step","D:\Projects\gjy_byproject\data\plane_model\label\91- 737-800 stp 3dm_737_wing_rivets.labels.json"
"train","95- 737-800-4 CREO STP_boeing_737_cj","D:\Projects\gjy_byproject\data\plane_model\source\95- 737-800-4 CREO STP_boeing_737_cj.stp","D:\Projects\gjy_byproject\data\plane_model\step\95- 737-800-4 CREO STP_boeing_737_cj_wing_rivets.step","D:\Projects\gjy_byproject\data\plane_model\step\95- 737-800-4 CREO STP_boeing_737_cj_rivet_only.step","D:\Projects\gjy_byproject\data\plane_model\label\95- 737-800-4 CREO STP_boeing_737_cj_wing_rivets.labels.json"
