face_id,solid_index,surface_type,area,center_x,center_y,center_z,normal_x,normal_y,normal_z
1,1,6,0.001672,-0.179845,7.888365,-6.661473,-0.020969,-0.999780,0.000000
2,1,6,0.001696,-0.181917,7.940689,-6.661473,-0.054682,0.998504,0.000000
3,1,0,0.045664,-0.231548,7.917878,-6.662435,-0.000000,-0.000000,-1.000000
4,1,0,0.045664,-0.231548,7.917878,-6.660512,0.000000,0.000000,1.000000
5,2,6,0.153679,0.384833,7.942415,-0.767677,-0.679624,0.000000,0.733561
6,2,0,0.135230,-0.111146,7.939732,-1.296663,-0.957874,0.000000,0.287188
7,2,0,0.059907,-0.393218,7.939160,-1.642898,0.162122,0.000000,0.986771
8,2,0,0.139509,-0.476017,7.935776,-1.238423,0.975490,-0.000000,-0.220045
9,2,0,0.237440,-0.019577,7.933901,-0.311516,-0.161974,-0.000000,-0.986795
10,2,6,0.151634,-0.583293,7.929864,-0.582197,0.954757,0.000000,0.297387
11,2,0,0.950537,-0.126331,8.026689,-0.787800,0.000000,-1.000000,0.000000
12,2,6,11.837909,-0.193020,7.493555,-6.686206,0.006390,0.875421,0.483318
13,2,6,0.350482,-0.141461,7.970499,-6.282108,-0.051155,0.997260,-0.053446
14,2,6,0.197628,-0.071362,7.882694,-6.230529,-0.020606,-0.999668,-0.015454
15,2,6,0.786327,-0.126332,7.879877,-5.906320,-0.020608,-0.999741,-0.009660
16,2,6,0.798196,-0.130406,7.974540,-5.906320,-0.054207,0.998000,-0.032525
17,2,6,1.428361,-0.122398,7.877291,-5.250528,-0.020610,-0.999744,-0.009385
18,2,6,1.449916,-0.126915,7.984877,-5.250528,-0.054245,0.998008,-0.032205
19,2,6,2.300955,-0.120181,7.876772,-4.295107,-0.020575,-0.999781,-0.003744
20,2,6,2.336085,-0.125610,8.002767,-4.295106,-0.054200,0.997840,-0.037125
21,2,6,3.581631,-0.133118,8.025725,-3.034450,-0.054290,0.997886,-0.035716
22,2,6,3.529002,-0.126903,7.874583,-3.034448,-0.021191,-0.999718,-0.010709
23,2,0,0.865996,-0.522982,7.967966,-0.055369,0.000000,-0.000000,1.000000
24,2,6,7.451681,-0.167194,8.050463,-1.143886,-0.053992,0.997754,-0.039645
25,2,6,6.387876,-0.162378,7.858991,-1.197476,-0.031266,-0.999186,-0.025501
26,3,0,0.098800,-0.240549,7.926853,-6.513340,0.000000,0.000000,1.000000
27,3,0,0.045664,-0.231548,7.917878,-6.660512,-0.000000,-0.000000,-1.000000
28,3,6,0.158818,-0.173485,7.885752,-6.582251,-0.020210,-0.996676,-0.078915
29,3,6,0.166733,-0.180155,7.950607,-6.582251,-0.049037,0.964274,-0.260329
30,4,6,0.041809,-0.200153,7.891349,-6.758522,-0.019339,-0.995183,-0.096107
31,4,6,0.047566,-0.206775,7.920407,-6.758523,-0.039530,0.890340,-0.453577
32,4,0,0.045664,-0.231548,7.917878,-6.662435,0.000000,-0.000000,1.000000
33,4,6,0.045179,-0.188055,7.889479,-6.690271,-0.020120,-0.995620,-0.091305
34,4,6,0.048018,-0.192399,7.935761,-6.690271,-0.048268,0.952733,-0.299952
35,4,0,0.003410,-0.218126,7.900297,-6.811038,-0.000000,-0.000000,-1.000000
36,5,0,0.942926,-0.124816,8.026689,1.791837,0.000000,-1.000000,-0.000000
37,5,0,0.208290,0.123483,7.923325,1.334999,-0.161974,0.000000,0.986795
38,5,6,0.175902,0.385139,7.930080,1.767587,-0.679624,-0.000000,-0.733561
39,5,0,0.154146,-0.111172,7.927569,2.296749,-0.957874,-0.000000,-0.287188
40,5,0,0.068180,-0.393128,7.927071,2.642913,0.162122,-0.000000,-0.986771
41,5,0,0.158344,-0.476058,7.923504,2.238605,0.975490,0.000000,0.220045
42,5,6,0.161268,-0.580046,7.917542,1.604277,0.941881,0.000000,-0.335946
43,5,0,0.805601,-0.536652,7.948390,1.255155,-0.000000,-0.000000,-1.000000
44,5,6,7.450879,-0.178402,8.028587,2.343761,-0.053995,0.997754,0.039648
45,5,6,3.581620,-0.144162,8.003829,4.234236,-0.054284,0.997887,0.035712
46,5,6,2.336086,-0.136656,7.980882,5.494892,-0.054201,0.997840,0.037126
47,5,6,1.449917,-0.137961,7.962992,6.450313,-0.054246,0.998008,0.032205
48,5,6,0.789833,-0.134267,7.953170,7.103707,-0.054208,0.998000,0.032526
49,5,6,0.207942,-0.226449,7.912229,7.320825,-0.004718,-0.769505,0.638624
50,5,6,0.653250,-0.114023,7.858373,7.064464,-0.020608,-0.999741,0.009659
51,5,6,0.031175,-0.281922,7.976901,7.382517,-0.015025,0.998829,0.045982
52,5,6,0.000214,0.599148,7.876492,7.363967,0.033957,-0.999317,0.014553
53,5,6,0.001845,0.504208,7.896901,7.364023,0.178222,0.980992,0.076761
54,5,6,1.428361,-0.133444,7.855405,6.450313,-0.020610,-0.999744,0.009386
55,5,6,2.300956,-0.131227,7.854885,5.494892,-0.020578,-0.999781,0.003745
56,5,6,3.529004,-0.137949,7.852695,4.234234,-0.021200,-0.999718,0.010712
57,5,6,6.394052,-0.175453,7.837484,2.425670,-0.028801,-0.999276,0.024875
58,6,0,0.098800,-0.251594,7.904967,7.713125,0.000000,0.000000,-1.000000
59,6,0,0.045664,-0.242594,7.895992,7.860298,-0.000000,-0.000000,1.000000
60,6,6,0.158819,-0.184530,7.863866,7.782037,-0.020210,-0.996676,0.078916
61,6,6,0.166733,-0.191201,7.928722,7.782036,-0.049038,0.964273,0.260334
62,7,6,0.041809,-0.211198,7.869463,7.958307,-0.019340,-0.995183,0.096108
63,7,6,0.047566,-0.217821,7.898522,7.958308,-0.039528,0.890333,0.453591
64,7,0,0.045664,-0.242594,7.895992,7.862220,0.000000,-0.000000,-1.000000
65,7,6,0.045179,-0.199101,7.867593,7.890056,-0.020120,-0.995620,0.091306
66,7,6,0.048018,-0.203445,7.913876,7.890057,-0.048269,0.952731,0.299957
67,7,0,0.003410,-0.229172,7.878411,8.010823,-0.000000,-0.000000,1.000000
68,8,6,0.297723,-3.286383,9.490525,0.289120,-0.436189,0.608162,-0.663234
