face_id,solid_index,surface_type,area,center_x,center_y,center_z,normal_x,normal_y,normal_z
1,1,6,0.126912,-3.508316,33.630894,-0.532965,-0.937839,0.147642,0.314103
2,1,6,0.103715,-3.364056,34.015063,-0.451065,0.000000,-0.132132,-0.991232
3,1,6,0.150624,-3.520580,33.350615,-0.603696,0.000000,-0.181973,0.983303
4,1,6,0.034266,-3.439530,33.613968,-0.480994,0.000000,-0.494954,0.868919
5,1,6,0.126934,-3.397983,33.631033,-0.532901,0.937839,-0.147642,-0.314103
6,2,6,0.003643,-1.043140,-35.514094,2.184547,0.137709,0.315397,-0.938915
7,2,6,0.003643,-1.067210,-35.514094,2.184547,-0.071846,-0.195609,-0.978047
8,3,6,0.018885,-5.391164,9.083597,-4.269087,0.137709,-0.938915,-0.315397
9,3,6,0.018885,-5.445971,9.083597,-4.269087,-0.196092,-0.972631,0.124644
10,4,6,0.018885,-4.990912,9.514077,-4.360292,0.265763,-0.933357,-0.241278
11,4,6,0.018885,-5.045719,9.514077,-4.360292,-0.071846,-0.978047,0.195609
12,5,0,0.125571,-5.420757,8.955278,-4.271548,0.000000,-1.000000,0.000000
13,5,6,0.375297,-5.289880,9.254569,-4.271549,0.843939,0.000000,-0.536439
14,5,0,0.022446,-5.441199,9.470548,-4.272012,-0.482887,0.875683,0.000000
15,5,6,0.391990,-5.400406,9.287183,-4.271466,0.825729,-0.061760,0.560675
16,5,6,0.287108,-5.543599,9.184766,-4.271549,-0.782947,0.000000,0.622088
17,5,6,0.020015,-5.259878,9.544731,-4.271554,-0.999297,-0.037478,0.000000
18,6,0,0.075621,-5.016933,9.328985,-4.361531,0.000000,-1.000000,0.000000
19,6,6,0.226010,-4.915369,9.561242,-4.361532,0.843939,0.000000,-0.536439
20,6,0,0.019327,-5.051027,9.718795,-4.362144,-0.482887,0.875683,0.000000
21,6,6,0.179290,-4.991041,9.634650,-4.361357,0.743225,-0.053527,0.666897
22,6,6,0.172901,-5.112262,9.507073,-4.361532,-0.782947,0.000000,0.622088
23,7,6,0.003634,1.043149,-35.514094,2.184547,-0.137709,0.315397,-0.938915
24,7,6,0.003634,1.067202,-35.514094,2.184547,0.071846,-0.195609,-0.978047
25,8,6,10.228722,12.215562,4.239749,-6.223924,0.820995,-0.231592,0.521855
26,8,0,7.076406,11.461698,5.471126,-6.223924,0.000000,1.000000,0.000000
27,8,0,0.363808,11.466613,2.725639,-6.226450,0.000000,-1.000000,0.000000
28,8,6,8.012239,12.134113,4.048773,-6.223352,-0.820995,0.231592,-0.521855
29,8,0,5.606605,11.460586,5.129599,-6.223352,0.000000,-1.000000,0.000000
30,8,6,10.228722,10.707833,4.239749,-6.223924,-0.820995,-0.231592,-0.521855
31,8,6,8.012239,10.787059,4.048773,-6.223352,0.820995,0.231592,0.521855
32,9,6,0.632821,11.645930,2.669517,-6.222251,0.820995,-0.231592,0.521855
33,9,0,0.437797,11.458421,2.975799,-6.222251,0.000000,1.000000,0.000000
34,9,0,0.122028,11.458421,2.292911,-6.222251,0.000000,-1.000000,0.000000
35,9,6,0.632821,11.270912,2.669517,-6.222251,-0.820995,-0.231592,-0.521855
36,10,6,2.513528,11.206430,5.299985,-8.008377,-0.110628,0.019221,-0.993676
37,10,6,2.514142,11.697645,5.299960,-8.008418,0.059956,0.224255,0.972684
38,11,6,1.429538,11.461776,11.157557,-5.916242,-0.978047,-0.071846,-0.195609
39,11,6,1.832380,11.461776,11.714807,-5.916242,-0.976230,0.066568,0.206263
40,12,0,0.461284,3.683234,-5.463998,-6.977280,0.878213,-0.000000,0.478270
41,12,6,0.010508,3.489627,-5.217405,-6.636796,-0.416562,0.055204,0.907430
42,12,0,0.461284,3.670145,-5.463998,-6.983289,-0.878213,0.000000,-0.478270
43,12,6,0.015147,3.718112,-5.754195,-7.056346,-0.136885,-0.944641,0.298187
44,12,0,0.002761,3.956251,-5.830879,-7.493623,0.417198,0.000000,-0.908816
45,12,6,0.018703,3.727766,-5.294089,-7.074073,0.283317,0.734050,-0.617172
46,13,0,0.461284,-3.683234,-5.463998,-6.977280,-0.878213,-0.000000,0.478270
47,13,6,0.010508,-3.489627,-5.217405,-6.636796,0.416562,0.055204,0.907430
48,13,0,0.461284,-3.670145,-5.463998,-6.983289,0.878213,0.000000,-0.478270
