face_id,solid_index,surface_type,area,center_x,center_y,center_z,normal_x,normal_y,normal_z
1,1,6,463.361707,-9.008036,60.871490,-806.317900,-0.754814,0.655911,0.006042
2,1,6,1419.127107,-14.070503,58.060167,-797.430045,-0.493028,0.868718,-0.047455
3,1,6,13.274406,-1.541752,64.247877,-738.867223,-0.310668,0.949049,0.052840
4,1,6,0.128092,0.000113,65.071814,-742.451307,0.001432,0.990066,0.140594
5,1,6,17.958429,-0.000003,65.694913,-746.252237,-0.096332,0.974248,0.203866
6,1,6,896.038160,0.000000,134.039268,-856.750951,-0.340238,0.728701,0.594334
7,1,6,16856.616895,-4.560651,126.596053,-906.078146,-0.997087,0.076161,0.004069
8,1,6,208.404842,-0.000000,150.120510,-967.372001,-0.932373,-0.081251,-0.352249
9,1,6,7.741022,0.000014,55.771289,-949.463844,-0.079872,0.790271,-0.607529
10,1,6,93.101546,-2.328653,57.153341,-939.804729,-0.837575,0.495880,-0.229284
11,1,6,236.753979,-7.947099,56.487119,-898.642370,-0.898886,0.428201,-0.092990
12,1,6,218.168462,-10.005482,53.509713,-904.926299,-0.678588,0.731981,-0.061015
13,1,6,1126.929976,-19.047180,57.247485,-747.313167,-0.530516,0.847576,-0.012963
14,1,0,8360.016678,0.000006,52.000000,-813.742075,0.000000,-1.000000,0.000000
15,1,6,128.356181,-5.593393,53.985451,-939.640560,-0.647089,0.731921,-0.213465
16,1,0,433.784749,-0.000000,56.817402,-720.000000,0.000000,0.000000,1.000000
17,1,6,1126.891703,19.047332,57.247417,-747.312426,0.530516,0.847576,-0.012963
18,1,6,218.167820,10.005504,53.509699,-904.926178,0.678574,0.731994,-0.061013
19,1,6,1420.761125,14.067565,58.056907,-797.510809,0.493029,0.868718,-0.047456
20,1,6,697.357581,8.649824,59.403056,-837.269553,0.823729,0.566336,-0.027094
21,1,6,16.132872,1.427205,64.223636,-737.791387,0.293804,0.954486,0.051343
22,1,6,11.607371,0.000025,64.714118,-738.975908,0.050251,0.993520,0.101942
