face_id,solid_index,surface_type,area,center_x,center_y,center_z,normal_x,normal_y,normal_z
1,1,0,20.734512,0.000000,2.207385,-300.000000,0.000000,0.000000,-1.000000
2,1,1,398.982267,-0.000000,2.207385,-295.000000,0.277350,-0.960769,0.000000
3,1,0,20.734512,0.000000,2.207385,-290.000000,0.000000,0.000000,1.000000
4,1,1,430.398194,-0.000000,2.207385,-295.000000,-0.277350,0.960769,0.000000
5,2,6,1137.508056,82.644665,17.881910,-114.296653,0.267829,-0.847176,0.458870
6,2,6,7089.004827,82.644665,21.541258,-130.188805,-0.031945,0.998585,-0.042526
7,2,0,286.041683,0.000000,17.044850,-91.219307,-1.000000,0.000000,0.000000
8,2,0,40.571177,194.675018,23.631814,-177.014730,1.000000,0.000000,0.000000
9,2,0,5740.214131,82.644665,17.327170,-132.949885,0.044738,-0.998999,0.000000
10,3,0,105.873085,0.000940,-10.383367,-310.695043,0.000000,0.000000,-1.000000
11,3,0,323.955465,0.000719,-9.180545,-300.000000,0.000000,0.000000,1.000000
12,3,6,734.185399,0.002136,-9.645640,-304.862494,-0.070624,0.995904,-0.056465
13,4,0,19.741003,19.741280,0.000000,-293.490326,0.000000,-1.000000,0.000000
14,4,0,11.035231,19.691244,37.012602,-303.434554,0.000000,1.000000,0.000000
15,4,6,581.491914,20.213297,17.615623,-300.299433,0.999302,-0.002432,-0.037277
16,4,6,581.495545,19.221641,17.615623,-300.299632,-0.999292,-0.005132,-0.037272
17,5,0,0.532324,17.538643,7.679622,-77.835637,0.000000,-1.000000,0.000000
18,5,1,0.890642,17.641946,7.281586,-79.047697,0.000000,-0.707107,0.707107
19,5,1,0.890402,17.636267,7.281595,-76.623568,0.000000,-0.707107,-0.707107
20,5,0,2.053616,17.981223,4.557647,-76.222280,0.000000,0.000000,-1.000000
21,5,1,0.881239,17.800473,1.824459,-76.623396,0.000000,0.697719,-0.716372
22,5,0,0.526559,17.719316,1.426240,-77.835647,0.000000,1.000000,0.000000
23,5,6,30924.258456,0.000006,0.650004,-143.256230,-0.000000,0.999537,-0.030439
24,5,0,0.522975,17.752446,1.426240,-56.835660,0.000000,1.000000,0.000000
25,5,1,0.875785,17.823104,1.824681,-55.623197,0.000000,0.698177,-0.715925
26,5,0,2.041003,17.916819,4.558759,-55.222280,0.000000,0.000000,-1.000000
27,5,1,0.892132,17.525797,7.281572,-55.623541,0.000000,-0.707107,-0.707107
28,5,1,0.882446,-17.806310,1.824396,-83.623452,0.000000,0.697719,-0.716372
29,5,0,0.527366,-17.723794,1.426240,-84.835642,0.000000,1.000000,0.000000
30,5,1,0.876514,17.818414,1.824722,-58.048107,0.000000,0.698177,0.715925
31,5,0,2.040865,17.928554,4.558188,-58.448971,0.000000,0.000000,1.000000
32,5,1,0.891555,17.544532,7.281611,-58.047663,0.000000,-0.707107,0.707107
33,5,0,2.040865,-17.928554,4.558188,-58.448971,0.000000,0.000000,1.000000
34,5,0,0.533131,17.432351,7.679622,-56.835599,0.000000,-1.000000,0.000000
35,5,1,0.876514,-17.818416,1.824722,-58.048107,0.000000,0.698177,0.715925
36,5,1,0.891555,-17.544529,7.281611,-58.047663,0.000000,-0.707107,0.707107
37,5,0,0.533131,-17.432351,7.679622,-56.835599,0.000000,-1.000000,0.000000
38,5,0,2.041003,-17.916819,4.558759,-55.222280,0.000000,0.000000,-1.000000
39,5,0,0.522975,-17.752446,1.426240,-56.835660,0.000000,1.000000,0.000000
40,5,1,0.877873,17.809784,1.824597,-62.623272,0.000000,0.697719,-0.716372
41,5,0,0.524350,17.734437,1.426240,-63.835656,0.000000,1.000000,0.000000
42,5,0,2.049480,17.942203,4.558558,-62.222280,0.000000,0.000000,-1.000000
43,5,1,0.875785,-17.823101,1.824681,-55.623197,0.000000,0.698177,-0.715925
44,5,1,0.892132,-17.525798,7.281572,-55.623541,0.000000,-0.707107,-0.707107
45,5,0,2.052306,-17.971613,4.557746,-72.448971,0.000000,0.000000,1.000000
46,5,1,0.890169,-17.621928,7.281565,-72.047713,0.000000,-0.707107,0.707107
47,5,0,0.532068,17.517300,7.679622,-70.835626,0.000000,-1.000000,0.000000
48,5,1,0.890169,17.621930,7.281565,-72.047713,0.000000,-0.707107,0.707107
49,5,0,2.028036,17.971580,4.558499,-72.448971,0.000000,0.000000,1.000000
50,5,1,0.880255,17.800912,1.824554,-72.047953,0.000000,0.697719,0.716372
51,5,1,0.880254,-17.800914,1.824554,-72.047953,0.000000,0.697719,0.716372
52,5,0,2.029481,-17.962782,4.558208,-69.222280,0.000000,0.000000,-1.000000
53,5,0,0.525549,-17.723083,1.426240,-70.835652,0.000000,1.000000,0.000000
54,5,1,0.879704,-17.801879,1.824525,-69.623337,0.000000,0.697719,-0.716372
55,5,1,0.890183,-17.612225,7.281558,-69.623532,0.000000,-0.707107,-0.707107
56,5,0,0.532068,-17.517300,7.679622,-70.835626,0.000000,-1.000000,0.000000
57,5,0,0.532321,-17.482255,7.679622,-63.835613,0.000000,-1.000000,0.000000
58,5,0,2.030476,17.951961,4.558566,-65.448971,0.000000,0.000000,1.000000
59,5,0,2.040874,-17.941056,4.557610,-62.222280,0.000000,0.000000,-1.000000
60,5,1,0.877873,-17.809782,1.824597,-62.623272,0.000000,0.697719,-0.716372
61,5,0,0.525549,17.723083,1.426240,-70.835652,0.000000,1.000000,0.000000
62,5,0,0.524350,-17.734437,1.426240,-63.835656,0.000000,1.000000,0.000000
63,5,1,0.890734,-17.575801,7.281548,-62.623522,0.000000,-0.707107,-0.707107
64,5,0,0.532321,17.482255,7.679622,-63.835613,0.000000,-1.000000,0.000000
65,5,1,0.879704,17.801882,1.824525,-69.623337,0.000000,0.697719,-0.716372
66,5,1,0.878521,17.806744,1.824634,-65.048027,0.000000,0.697719,0.716372
67,5,0,2.050279,-17.952132,4.558220,-65.448971,0.000000,0.000000,1.000000
68,5,1,0.878520,-17.806747,1.824634,-65.048026,0.000000,0.697719,0.716372
69,5,0,2.051314,17.962936,4.557919,-69.222280,0.000000,0.000000,-1.000000
70,5,1,0.890183,17.612223,7.281558,-69.623532,0.000000,-0.707107,-0.707107
71,5,1,0.890734,17.575799,7.281548,-62.623522,0.000000,-0.707107,-0.707107
72,5,1,0.890455,17.589773,7.281571,-65.047704,0.000000,-0.707107,0.707107
73,5,1,0.890455,-17.589771,7.281571,-65.047704,0.000000,-0.707107,0.707107
74,5,0,2.025602,18.004779,4.558428,-86.448971,0.000000,0.000000,1.000000
75,5,0,0.527366,17.723794,1.426240,-84.835642,0.000000,1.000000,0.000000
76,5,0,2.035781,18.000111,4.556918,-83.222280,0.000000,0.000000,-1.000000
77,5,0,0.533078,17.546714,7.679622,-84.835649,0.000000,-1.000000,0.000000
