face_id,solid_index,surface_type,area,center_x,center_y,center_z,normal_x,normal_y,normal_z
1,1,6,0.853351,23.249159,-1.209726,-15.243321,-0.564808,-0.721748,-0.400090
2,1,6,0.853302,23.249142,-1.446597,-15.364095,-0.564808,-0.810058,-0.157476
3,1,6,0.853338,23.249155,-1.709219,-15.405714,-0.564808,-0.819073,0.100554
4,1,6,0.853205,23.249195,-1.971882,-15.364233,-0.564807,-0.747912,0.348741
5,1,6,0.853358,23.249154,-2.208764,-15.243479,-0.564807,-0.603540,0.562790
6,1,6,0.853358,23.249154,-2.396804,-15.055499,-0.564807,-0.400089,0.721749
7,1,6,0.853357,23.249155,-2.517551,-14.818612,-0.564808,-0.157475,0.810058
8,1,6,0.853336,23.249156,-2.559197,-14.556006,-0.564808,0.100554,0.819073
9,1,6,0.853286,23.249164,-0.901060,-14.818360,-0.564808,-0.348738,-0.747913
10,1,6,0.026213,23.268740,-0.582137,-14.857968,0.202678,0.893326,0.401111
11,1,6,0.026213,23.230866,-0.619894,-14.974057,-0.202448,0.487682,-0.849224
12,1,6,0.087752,23.011076,-0.591099,-14.842018,-0.160975,0.953714,-0.254002
13,1,6,0.087756,23.488546,-0.636474,-14.981669,0.160977,0.920867,-0.355092
14,1,0,0.000382,23.249809,-0.568087,-14.926693,0.000000,0.951057,-0.309017
15,1,6,0.853323,23.249160,-0.901152,-14.293125,-0.564808,0.157478,-0.810057
16,1,6,0.853348,23.249161,-1.021746,-15.055282,-0.564808,-0.562788,-0.603541
17,1,6,0.026213,23.268740,-0.730661,-15.191512,0.202678,0.973554,0.105426
18,1,6,0.026213,23.230866,-0.802443,-15.290251,-0.202448,0.201389,-0.958362
19,1,6,0.087932,23.011350,-0.734364,-15.173773,-0.160977,0.828547,-0.536280
20,1,6,0.087443,23.489033,-0.820842,-15.292641,0.160979,0.766064,-0.622279
21,1,0,0.000382,23.249809,-0.738535,-15.261214,0.000000,0.809017,-0.587785
22,1,6,0.026213,23.268740,-0.974985,-15.462834,0.202678,0.958483,-0.200579
23,1,6,0.026213,23.230866,-1.073766,-15.534559,-0.202448,-0.104618,-0.973689
24,1,6,0.087755,23.011074,-0.972859,-15.444662,-0.160979,0.622278,-0.766065
25,1,6,0.087759,23.488548,-1.091655,-15.530973,0.160981,0.536271,-0.828552
26,1,0,0.000382,23.249809,-1.004013,-15.526692,0.000000,0.587785,-0.809017
27,1,6,0.026213,23.268740,-1.291195,-15.645377,0.202678,0.849589,-0.486949
28,1,6,0.026213,23.230866,-1.407305,-15.683066,-0.202448,-0.400384,-0.893704
29,1,6,0.087441,23.010587,-1.283211,-15.628571,-0.160980,0.355098,-0.920864
30,1,6,0.087760,23.488548,-1.423211,-15.674128,0.160982,0.253984,-0.953717
31,1,0,0.000382,23.249809,-1.338535,-15.697139,0.000000,0.309017,-0.951057
32,1,6,0.026213,23.268740,-1.648337,-15.721271,0.202678,0.657532,-0.725654
33,1,6,0.026213,23.230866,-1.770411,-15.721235,-0.202448,-0.656958,-0.726238
34,1,6,0.087935,23.011347,-1.636160,-15.707847,-0.160982,0.053160,-0.985525
35,1,6,0.087938,23.488275,-1.782551,-15.707848,0.160984,-0.053165,-0.985524
36,1,0,0.000382,23.249809,-1.709356,-15.755871,0.000000,-0.000000,-1.000000
37,1,6,0.026213,23.268740,-2.011452,-15.683087,0.202678,0.401111,-0.893326
38,1,6,0.026213,23.230866,-2.127540,-15.645331,-0.202448,-0.849224,-0.487682
39,1,6,0.087757,23.011072,-1.995499,-15.674127,-0.160983,-0.253983,-0.953717
40,1,6,0.087761,23.488550,-2.135155,-15.628750,0.160985,-0.355108,-0.920859
41,1,0,0.000382,23.249809,-2.080176,-15.697138,0.000000,-0.309017,-0.951057
42,1,6,0.026213,23.268740,-2.344995,-15.534564,0.202678,0.105426,-0.973554
43,1,6,0.026213,23.230866,-2.443734,-15.462782,-0.202448,-0.958362,-0.201389
44,1,6,0.087758,23.011071,-2.327054,-15.530972,-0.160983,-0.536266,-0.828555
45,1,6,0.087650,23.488771,-2.445826,-15.444659,0.160985,-0.622290,-0.766054
46,1,0,0.000382,23.249809,-2.414698,-15.526690,0.000000,-0.587785,-0.809017
47,1,6,0.026213,23.268740,-2.616318,-15.290240,0.202678,-0.200579,-0.958483
