face_id,solid_index,surface_type,area,center_x,center_y,center_z,normal_x,normal_y,normal_z
1,1,6,3020785.261356,1766.634864,14815.326617,4106.512615,-0.063421,0.109313,0.991982
2,1,6,6272860.998670,1922.450981,14579.352241,3950.506571,0.216461,-0.299105,0.929344
3,1,6,7087199.923806,-147.598918,11917.419958,2475.331280,-0.998221,0.048455,-0.034730
4,1,6,10946335.817765,95.425782,11437.763328,2564.128795,0.991781,-0.052469,0.116696
5,1,0,45309.436481,-8935.902744,8488.075315,-830.976828,0.971954,-0.235173,0.000000
6,1,0,63319.455180,-4579.834734,7108.264747,-941.600398,-0.971954,0.235173,0.000000
7,1,0,65483.632773,4136.084672,6998.151930,-954.632854,-0.971954,-0.235173,0.000000
8,1,6,18476060.099706,-4281.240732,5735.303626,-1061.677427,-0.034628,0.042137,-0.998512
9,1,6,12973213.113622,-4244.088822,6051.358410,-801.913186,0.018417,0.053217,0.998413
10,1,6,30105326.016554,-0.142041,9607.174952,191.274633,-0.881518,0.045301,-0.469972
11,1,0,94964.245293,-1197.641451,5119.815199,-701.642350,-1.000000,0.000000,0.000000
12,1,0,353.684605,-1197.641451,5565.956373,-1233.387161,-1.000000,0.000000,0.000000
13,1,0,94964.545034,1197.641451,5119.814130,-701.642435,1.000000,0.000000,0.000000
14,1,0,353.684605,1197.641451,5565.956373,-1233.387161,1.000000,0.000000,0.000000
15,1,1,2180077.104983,-0.000001,7625.584639,-1454.455238,0.000000,0.177449,-0.984130
16,1,1,835150.010164,1025.277574,6857.392031,-1114.942042,0.975625,0.219445,0.000000
17,1,1,835157.708347,-1025.275992,6857.397864,-1114.941245,-0.975625,0.219447,0.000000
18,1,1,363020.400633,1002.026396,2756.246559,-1064.824249,0.975624,-0.219450,0.000000
19,1,1,3449992.759757,0.003154,2734.597516,-1457.652901,0.000000,-0.135527,-0.990774
20,1,1,6982378.028929,0.000024,5252.020688,-1537.465352,0.000000,0.000000,-1.000000
21,1,1,653974.161121,1109.141794,5112.701982,-1402.827212,0.690735,0.000000,-0.723108
22,1,1,653974.171814,-1109.141799,5112.701985,-1402.827207,-0.690735,0.000000,-0.723108
23,1,1,363019.366938,-1002.026255,2756.245527,-1064.824265,-0.975624,-0.219450,0.000000
24,1,6,24870932.283657,0.067149,9165.902483,260.730220,-0.199002,-0.016962,0.979852
25,1,6,33499061.070638,-48.998397,3203.704985,323.007381,-0.354170,0.000000,-0.935181
26,1,6,38893874.831608,-48.483228,3124.337296,380.290617,0.354170,0.000000,0.935181
27,1,6,10492586.232085,-0.160036,-1212.683614,-100.634614,0.612085,-0.065215,0.788098
28,1,6,10874007.845924,0.241790,-2891.825603,-381.995449,0.412378,0.020817,0.910775
29,1,6,7950269.310072,0.025035,-2795.349760,-384.309006,-0.412361,-0.019767,-0.910806
30,1,6,8672232.421554,-0.266385,-1190.610594,-104.542179,-0.561129,0.032897,-0.827075
31,1,1,92245.049948,-1214.988294,5974.079846,350.645990,0.000000,-0.564594,-0.825369
32,1,0,22644.074057,-1255.276745,5821.680000,192.218972,0.000000,1.000000,0.000000
33,1,1,87677.182695,-1271.026984,5974.079999,34.123911,0.000000,0.535439,0.844574
34,1,0,22644.074057,-1255.276745,6126.480000,192.218972,0.000000,-1.000000,0.000000
35,1,1,92245.400321,1214.986268,5974.080154,350.645987,0.000000,-0.564594,-0.825369
36,1,0,22644.074057,1255.276745,5821.680000,192.218972,0.000000,1.000000,0.000000
37,1,1,87677.187004,1271.026884,5974.080001,34.123909,0.000000,0.535439,0.844574
38,1,0,22644.074057,1255.276745,6126.480000,192.218972,0.000000,-1.000000,0.000000
39,1,1,92245.049948,-1214.988294,5303.519846,350.645990,0.000000,-0.564594,-0.825369
40,1,0,22644.074057,-1255.276745,5151.120000,192.218972,0.000000,1.000000,0.000000
41,1,1,87677.182695,-1271.026984,5303.519999,34.123911,0.000000,0.535439,0.844574
42,1,0,22644.074057,-1255.276745,5455.920000,192.218972,0.000000,-1.000000,0.000000
43,1,1,92245.400321,1214.986268,5303.520154,350.645987,0.000000,-0.564594,-0.825369
44,1,0,22644.074057,1255.276745,5151.120000,192.218972,0.000000,1.000000,0.000000
45,1,1,87677.187004,1271.026884,5303.520001,34.123909,0.000000,0.535439,0.844574
46,1,0,22644.074057,1255.276745,5455.920000,192.218972,0.000000,-1.000000,0.000000
47,1,1,92245.049948,-1214.988294,4632.959846,350.645990,0.000000,-0.564594,-0.825369
48,1,0,22644.074057,-1255.276745,4480.560000,192.218972,0.000000,1.000000,0.000000
49,1,1,87677.182695,-1271.026984,4632.959999,34.123911,0.000000,0.535439,0.844574
50,1,0,22644.074057,-1255.276745,4785.360000,192.218972,0.000000,-1.000000,0.000000
51,1,1,92245.400321,1214.986268,4632.960154,350.645987,0.000000,-0.564594,-0.825369
52,1,0,22644.074057,1255.276745,4480.560000,192.218972,0.000000,1.000000,0.000000
53,1,1,87677.187004,1271.026884,4632.960001,34.123909,0.000000,0.535439,0.844574
54,1,0,22644.074057,1255.276745,4785.360000,192.218972,0.000000,-1.000000,0.000000
55,1,1,92245.049948,-1214.988294,3962.399846,350.645990,0.000000,-0.564594,-0.825369
56,1,0,22644.074057,-1255.276745,3810.000000,192.218972,0.000000,1.000000,0.000000
57,1,1,87677.182695,-1271.026984,3962.399999,34.123911,0.000000,0.535439,0.844574
58,1,0,22644.074057,-1255.276745,4114.800000,192.218972,0.000000,-1.000000,0.000000
59,1,1,92245.400321,1214.986268,3962.400154,350.645987,0.000000,-0.564594,-0.825369
60,1,0,22644.074057,1255.276745,3810.000000,192.218972,0.000000,1.000000,0.000000
61,1,1,87677.187004,1271.026884,3962.400001,34.123909,0.000000,0.535439,0.844574
62,1,0,22644.074057,1255.276745,4114.800000,192.218972,0.000000,-1.000000,0.000000
63,1,1,92245.049948,-1214.988294,3291.839846,350.645990,0.000000,-0.564594,-0.825369
64,1,0,22644.074057,-1255.276745,3139.440000,192.218972,0.000000,1.000000,0.000000
65,1,1,87677.182695,-1271.026984,3291.839999,34.123911,0.000000,0.535439,0.844574
66,1,0,22644.074057,-1255.276745,3444.240000,192.218972,0.000000,-1.000000,0.000000
67,1,1,92245.400321,1214.986268,3291.840154,350.645987,0.000000,-0.564594,-0.825369
68,1,0,22644.074057,1255.276745,3139.440000,192.218972,0.000000,1.000000,0.000000
69,1,1,87677.187004,1271.026884,3291.840001,34.123909,0.000000,0.535439,0.844574
70,1,0,22644.074057,1255.276745,3444.240000,192.218972,0.000000,-1.000000,0.000000
71,1,1,92245.049948,-1214.988294,2621.279846,350.645990,0.000000,-0.564594,-0.825369
72,1,0,22644.074057,-1255.276745,2468.880000,192.218972,0.000000,1.000000,0.000000
73,1,1,87677.182695,-1271.026984,2621.279999,34.123911,0.000000,0.535439,0.844574
74,1,0,22644.074057,-1255.276745,2773.680000,192.218972,0.000000,-1.000000,0.000000
75,1,1,92245.400321,1214.986268,2621.280154,350.645987,0.000000,-0.564594,-0.825369
76,1,0,22644.074057,1255.276745,2468.880000,192.218972,0.000000,1.000000,0.000000
77,1,1,87677.187004,1271.026884,2621.280001,34.123909,0.000000,0.535439,0.844574
78,1,0,22644.074057,1255.276745,2773.680000,192.218972,0.000000,-1.000000,0.000000
79,1,0,8683.068007,0.000700,13319.760000,736.271137,0.000000,1.000000,0.000000
80,1,6,4582464.989381,0.072995,-275.131422,2.844735,0.273237,-0.000000,0.961947
81,1,6,288301.744546,0.007508,-4107.838781,-498.913413,0.000001,-0.996421,0.084524
