face_id,solid_index,surface_type,area,center_x,center_y,center_z,normal_x,normal_y,normal_z
1,1,6,309400.539683,-1461.181773,628.576405,417.117438,0.237679,0.680956,0.692682
2,1,6,103830.972122,-1526.524090,750.348767,193.270897,0.131029,0.979991,-0.149830
3,1,6,98664.296312,-1531.009668,725.672096,196.718605,-0.131043,-0.980000,0.149761
4,1,6,284648.309221,-1471.205080,609.900155,404.147051,-0.237629,-0.681131,-0.692527
5,1,6,22847.278580,-1587.274288,725.717016,203.854377,-0.033068,-0.268697,-0.962657
6,1,6,5266.816601,-1608.826348,539.516496,511.518583,-0.200438,0.113261,0.973137
7,1,6,4045.448697,-1468.286861,726.521419,119.336820,0.065344,0.501043,-0.862952
8,1,6,4674.745491,-1525.219421,714.334718,144.600797,-0.253565,-0.864754,-0.433481
9,1,6,5128.268462,-1607.668881,524.286324,494.266427,-0.473313,-0.756643,-0.451073
10,1,6,2155.505054,-1113.320157,562.048290,350.212428,0.888147,0.264376,0.375900
11,1,6,722.982328,-1824.931427,792.924209,255.602847,-0.647120,0.757842,-0.083133
12,1,6,2006.347799,-1119.636188,545.609976,337.280331,0.485552,-0.624696,-0.611551
13,1,6,22851.081692,-1392.225206,497.401047,462.683504,0.310448,-0.922038,0.231232
14,2,6,306879.205698,-1463.322446,-629.562632,417.271700,0.237679,-0.680956,0.692682
15,2,6,103847.165035,-1526.499579,-750.341447,193.252345,0.131029,-0.979991,-0.149830
16,2,6,98781.191456,-1530.937480,-725.626536,196.565106,-0.131043,0.980000,0.149761
17,2,6,281234.210563,-1474.325201,-611.309234,404.400546,-0.237629,0.681131,-0.692527
18,2,6,22878.150836,-1587.103606,-725.667404,203.762618,-0.033068,0.268697,-0.962657
19,2,6,5267.094816,-1608.839370,-539.509751,511.526078,-0.200438,-0.113261,0.973137
20,2,6,4045.402994,-1468.291341,-726.522029,119.336884,0.065344,-0.501043,-0.862952
21,2,6,4674.780064,-1525.217539,-714.334447,144.600754,-0.253565,0.864754,-0.433481
22,2,6,5119.922036,-1607.487147,-524.372600,494.165301,-0.473314,0.756644,-0.451070
23,2,6,2155.523719,-1113.320133,-562.048815,350.211594,0.888147,-0.264376,0.375900
24,2,6,722.982328,-1824.931427,-792.924209,255.602847,-0.647120,-0.757842,-0.083133
25,2,6,2006.347645,-1119.636170,-545.610574,337.279601,0.485552,0.624696,-0.611551
26,2,6,22820.327129,-1392.062751,-497.428272,462.605244,0.310448,0.922038,0.231232
