"model_name","id","label"
"Airplane body_wing_rivets.step","1","1"
"Airplane body_wing_rivets.step","2","0"
"Airplane body_wing_rivets.step","3","1"
"Airplane body_wing_rivets.step","4","0"
"Airplane body_wing_rivets.step","5","0"
"Airplane body_wing_rivets.step","6","0"
"Airplane body_wing_rivets.step","7","0"
"Airplane body_wing_rivets.step","8","0"
"Airplane body_wing_rivets.step","9","0"
"Airplane body_wing_rivets.step","10","0"
"Airplane body_wing_rivets.step","11","0"
"Airplane body_wing_rivets.step","12","0"
"Airplane body_wing_rivets.step","13","0"
"Airplane body_wing_rivets.step","14","0"
"Airplane body_wing_rivets.step","15","0"
"Airplane body_wing_rivets.step","16","0"
"Airplane body_wing_rivets.step","17","0"
"Airplane body_wing_rivets.step","18","1"
"Airplane body_wing_rivets.step","19","1"
"Airplane body_wing_rivets.step","20","1"
"Airplane body_wing_rivets.step","21","1"
"Airplane body_wing_rivets.step","22","1"
"Airplane body_wing_rivets.step","23","1"
"Airplane body_wing_rivets.step","24","1"
"Airplane body_wing_rivets.step","25","1"
"Airplane body_wing_rivets.step","26","1"
"Airplane body_wing_rivets.step","27","1"
"Airplane body_wing_rivets.step","28","1"
"Airplane body_wing_rivets.step","29","0"
"Airplane body_wing_rivets.step","30","0"
"Airplane body_wing_rivets.step","31","0"
"Airplane body_wing_rivets.step","32","0"
"Airplane body_wing_rivets.step","33","0"
"Airplane body_wing_rivets.step","34","0"
"Airplane body_wing_rivets.step","35","0"
"Airplane body_wing_rivets.step","36","0"
"Airplane body_wing_rivets.step","37","0"
"Airplane body_wing_rivets.step","38","0"
"Airplane body_wing_rivets.step","39","0"
"Airplane body_wing_rivets.step","40","0"
"Airplane body_wing_rivets.step","41","0"
"Airplane body_wing_rivets.step","42","0"
"Airplane body_wing_rivets.step","43","0"
"Airplane body_wing_rivets.step","44","0"
"Airplane body_wing_rivets.step","45","0"
"Airplane body_wing_rivets.step","46","0"
"Airplane body_wing_rivets.step","47","0"
"Airplane body_wing_rivets.step","48","1"
"Airplane body_wing_rivets.step","49","1"
"Airplane body_wing_rivets.step","50","1"
"Airplane body_wing_rivets.step","51","1"
"Airplane body_wing_rivets.step","52","1"
"Airplane body_wing_rivets.step","53","1"
"Airplane body_wing_rivets.step","54","0"
"Airplane body_wing_rivets.step","55","0"
"Airplane body_wing_rivets.step","56","0"
"Airplane body_wing_rivets.step","57","0"
"Airplane body_wing_rivets.step","58","0"
"Airplane body_wing_rivets.step","59","0"
"Airplane body_wing_rivets.step","60","0"
"Airplane body_wing_rivets.step","61","0"
"Airplane body_wing_rivets.step","62","0"
"Airplane body_wing_rivets.step","63","0"
"Airplane body_wing_rivets.step","64","0"
"Airplane body_wing_rivets.step","65","0"
"Airplane body_wing_rivets.step","66","0"
"Airplane body_wing_rivets.step","67","0"
"Airplane body_wing_rivets.step","68","0"
"Airplane body_wing_rivets.step","69","0"
"Airplane body_wing_rivets.step","70","0"
"Airplane body_wing_rivets.step","71","0"
"Airplane body_wing_rivets.step","72","0"
"Airplane body_wing_rivets.step","73","0"
"Airplane body_wing_rivets.step","74","0"
"Airplane body_wing_rivets.step","75","0"
"Airplane body_wing_rivets.step","76","0"
"Airplane body_wing_rivets.step","77","0"
"Airplane body_wing_rivets.step","78","0"
"Airplane body_wing_rivets.step","79","0"
"Airplane body_wing_rivets.step","80","0"
"Airplane body_wing_rivets.step","81","0"
"Airplane body_wing_rivets.step","82","0"
"Airplane body_wing_rivets.step","83","0"
"Airplane body_wing_rivets.step","84","0"
"Airplane body_wing_rivets.step","85","0"
"Airplane body_wing_rivets.step","86","0"
"Airplane body_wing_rivets.step","87","0"
"Airplane body_wing_rivets.step","88","0"
"Airplane body_wing_rivets.step","89","0"
"Airplane body_wing_rivets.step","90","0"
"Airplane body_wing_rivets.step","91","0"
"Airplane body_wing_rivets.step","92","0"
"Airplane body_wing_rivets.step","93","0"
"Airplane body_wing_rivets.step","94","0"
"Airplane body_wing_rivets.step","95","0"
"Airplane body_wing_rivets.step","96","0"
"Airplane body_wing_rivets.step","97","0"
"Airplane body_wing_rivets.step","98","0"
"Airplane body_wing_rivets.step","99","0"
"Airplane body_wing_rivets.step","100","0"
"Airplane body_wing_rivets.step","101","0"
"Airplane body_wing_rivets.step","102","0"
"Airplane body_wing_rivets.step","103","0"
"Airplane body_wing_rivets.step","104","0"
"Airplane body_wing_rivets.step","105","0"
"Airplane body_wing_rivets.step","106","0"
"Airplane body_wing_rivets.step","107","0"
"Airplane body_wing_rivets.step","108","0"
"Airplane body_wing_rivets.step","109","0"
"Airplane body_wing_rivets.step","110","0"
"Airplane body_wing_rivets.step","111","0"
"Airplane body_wing_rivets.step","112","0"
"Airplane body_wing_rivets.step","113","0"
"Airplane body_wing_rivets.step","114","0"
"Airplane body_wing_rivets.step","115","0"
"Airplane body_wing_rivets.step","116","0"
"Airplane body_wing_rivets.step","117","0"
"Airplane body_wing_rivets.step","118","0"
"Airplane body_wing_rivets.step","119","0"
"Airplane body_wing_rivets.step","120","0"
"Airplane body_wing_rivets.step","121","0"
"Airplane body_wing_rivets.step","122","0"
"Airplane body_wing_rivets.step","123","0"
"Airplane body_wing_rivets.step","124","0"
"Airplane body_wing_rivets.step","125","0"
"Airplane body_wing_rivets.step","126","0"
"Airplane body_wing_rivets.step","127","0"
"Airplane body_wing_rivets.step","128","0"
"Airplane body_wing_rivets.step","129","0"
"Airplane body_wing_rivets.step","130","0"
"Airplane body_wing_rivets.step","131","0"
"Airplane body_wing_rivets.step","132","0"
"Airplane body_wing_rivets.step","133","0"
"Airplane body_wing_rivets.step","134","0"
"Airplane body_wing_rivets.step","135","0"
"Airplane body_wing_rivets.step","136","0"
"Airplane body_wing_rivets.step","137","0"
"Airplane body_wing_rivets.step","138","0"
"Airplane body_wing_rivets.step","139","0"
"Airplane body_wing_rivets.step","140","0"
"Airplane body_wing_rivets.step","141","0"
"Airplane body_wing_rivets.step","142","0"
"Airplane body_wing_rivets.step","143","0"
"Airplane body_wing_rivets.step","144","0"
"Airplane body_wing_rivets.step","145","0"
"Airplane body_wing_rivets.step","146","0"
"Airplane body_wing_rivets.step","147","0"
"Airplane body_wing_rivets.step","148","0"
"Airplane body_wing_rivets.step","149","0"
"Airplane body_wing_rivets.step","150","0"
"Airplane body_wing_rivets.step","151","0"
"Airplane body_wing_rivets.step","152","0"
"Airplane body_wing_rivets.step","153","0"
"Airplane body_wing_rivets.step","154","0"
"Airplane body_wing_rivets.step","155","0"
"Airplane body_wing_rivets.step","156","0"
"Airplane body_wing_rivets.step","157","0"
"Airplane body_wing_rivets.step","158","0"
"Airplane body_wing_rivets.step","159","0"
"Airplane body_wing_rivets.step","160","0"
"Airplane body_wing_rivets.step","161","0"
"Airplane body_wing_rivets.step","162","0"
"Airplane body_wing_rivets.step","163","0"
"Airplane body_wing_rivets.step","164","0"
"Airplane body_wing_rivets.step","165","0"
"Airplane body_wing_rivets.step","166","0"
"Airplane body_wing_rivets.step","167","0"
"Airplane body_wing_rivets.step","168","0"
"Airplane body_wing_rivets.step","169","0"
"Airplane body_wing_rivets.step","170","0"
"Airplane body_wing_rivets.step","171","0"
"Airplane body_wing_rivets.step","172","0"
"Airplane body_wing_rivets.step","173","0"
"Airplane body_wing_rivets.step","174","0"
"Airplane body_wing_rivets.step","175","0"
"Airplane body_wing_rivets.step","176","0"
"Airplane body_wing_rivets.step","177","0"
"Airplane body_wing_rivets.step","178","0"
"Airplane body_wing_rivets.step","179","0"
"Airplane body_wing_rivets.step","180","0"
"Airplane body_wing_rivets.step","181","0"
"Airplane body_wing_rivets.step","182","0"
"Airplane body_wing_rivets.step","183","0"
"Airplane body_wing_rivets.step","184","0"
"Airplane body_wing_rivets.step","185","0"
"Airplane body_wing_rivets.step","186","0"
"Airplane body_wing_rivets.step","187","0"
"Airplane body_wing_rivets.step","188","0"
"Airplane body_wing_rivets.step","189","0"
"Airplane body_wing_rivets.step","190","0"
"Airplane body_wing_rivets.step","191","0"
"Airplane body_wing_rivets.step","192","0"
"Airplane body_wing_rivets.step","193","0"
"Airplane body_wing_rivets.step","194","0"
"Airplane body_wing_rivets.step","195","0"
"Airplane body_wing_rivets.step","196","0"
"Airplane body_wing_rivets.step","197","0"
"Airplane body_wing_rivets.step","198","0"
"Airplane body_wing_rivets.step","199","0"
"Airplane body_wing_rivets.step","200","0"
"Airplane body_wing_rivets.step","201","0"
"Airplane body_wing_rivets.step","202","0"
"Airplane body_wing_rivets.step","203","0"
"Airplane body_wing_rivets.step","204","0"
"Airplane body_wing_rivets.step","205","0"
"Airplane body_wing_rivets.step","206","0"
"Airplane body_wing_rivets.step","207","0"
"Airplane body_wing_rivets.step","208","0"
"Airplane body_wing_rivets.step","209","0"
"Airplane body_wing_rivets.step","210","0"
"Airplane body_wing_rivets.step","211","0"
"Airplane body_wing_rivets.step","212","0"
"Airplane body_wing_rivets.step","213","0"
"Airplane body_wing_rivets.step","214","0"
"Airplane body_wing_rivets.step","215","0"
"Airplane body_wing_rivets.step","216","0"
"Airplane body_wing_rivets.step","217","0"
"Airplane body_wing_rivets.step","218","0"
"Airplane body_wing_rivets.step","219","0"
"Airplane body_wing_rivets.step","220","0"
"Airplane body_wing_rivets.step","221","0"
"Airplane body_wing_rivets.step","222","0"
"Airplane body_wing_rivets.step","223","0"
"Airplane body_wing_rivets.step","224","0"
"Airplane body_wing_rivets.step","225","0"
"Airplane body_wing_rivets.step","226","0"
"Airplane body_wing_rivets.step","227","0"
"Airplane body_wing_rivets.step","228","0"
"Airplane body_wing_rivets.step","229","0"
"Airplane body_wing_rivets.step","230","0"
"Airplane body_wing_rivets.step","231","0"
"Airplane body_wing_rivets.step","232","0"
"Airplane body_wing_rivets.step","233","0"
"Airplane body_wing_rivets.step","234","0"
"Airplane body_wing_rivets.step","235","0"
"Airplane body_wing_rivets.step","236","0"
"Airplane body_wing_rivets.step","237","0"
"Airplane body_wing_rivets.step","238","0"
"Airplane body_wing_rivets.step","239","0"
"Airplane body_wing_rivets.step","240","0"
"Airplane body_wing_rivets.step","241","0"
"Airplane body_wing_rivets.step","242","0"
"Airplane body_wing_rivets.step","243","0"
"Airplane body_wing_rivets.step","244","0"
"Airplane body_wing_rivets.step","245","0"
